stage-1,non-demo,no_affidavit,GB,"{'n_estimators': 1, 'learning_rate': 0.001, 'subsample': 0.1, 'max_depth': 10}",ROS,3,"[ 0.34771755  0.61742222  0.62319364  0.63162773  0.63333333  0.63717486
  0.63837142  0.64230845  0.64229405  0.64489146  0.64475524  0.64683106
  0.62701661  0.63124073  0.6434136   0.59457831  0.53168044  0.44329897
  0.42598684  1.        ]","[ 1.          0.89051282  0.88461538  0.87358974  0.86230769  0.86051282
  0.85230769  0.83615385  0.83564103  0.83025641  0.8274359   0.81384615
  0.66769231  0.65487179  0.46589744  0.25307692  0.14846154  0.07717949
  0.06641026  0.        ]","[ 0.4995      0.49951493  0.49952174  0.49967647  0.4997      0.49979167
  0.49982877  0.49983333  0.49992857  0.5         0.50002     0.50027778
  0.50031481  0.50032213  0.50034301  0.50035139  0.50041176  0.50042593
  0.5005    ]",0.792148760363
stage-1,non-demo,no_affidavit,GB,"{'n_estimators': 1, 'learning_rate': 0.001, 'subsample': 0.1, 'max_depth': 10}",SMOTE,3,"[ 0.34771755  0.64580874  0.64483929  0.65081301  0.65204019  0.65049751
  0.65736368  0.65650011  0.65637995  0.65555068  0.6575403   0.65748556
  0.65791815  0.65727273  0.66107151  0.66081331  0.66187717  0.65358408
  0.63654419  0.63642384  0.62605688  0.63447433  0.62281141  0.59015455
  0.50327409  1.        ]","[ 1.          0.84153846  0.82820513  0.82102564  0.81538462  0.80461538
  0.78512821  0.77820513  0.76897436  0.76615385  0.76358974  0.75897436
  0.75846154  0.74153846  0.73717949  0.73333333  0.73230769  0.61487179
  0.49307692  0.49282051  0.41769231  0.39923077  0.31923077  0.26435897
  0.13794872  0.        ]","[ 0.4995      0.49952564  0.49958264  0.49959091  0.49961765  0.49962121
  0.49970755  0.49978571  0.49983333  0.49991667  0.50008824  0.5001
  0.50011538  0.50014286  0.50016667  0.50025     0.50028049  0.50032857
  0.50040909  0.50041589  0.50041667  0.50042174  0.50044928  0.50045669
  0.5005    ]",0.7756431757
stage-1,non-demo,no_affidavit,GB,"{'n_estimators': 1, 'learning_rate': 0.001, 'subsample': 0.1, 'max_depth': 20}",None,3,"[ 0.34771755  0.3789362   0.44963552  0.4155741   0.66152629  0.67915106
  0.73532069  1.        ]","[ 1.          0.82384615  0.69589744  0.53641026  0.42897436  0.41846154
  0.20871795  0.        ]","[ 0.34773972  0.34840768  0.34873992  0.34927602  0.34930726  0.34940788
  0.35027622]",0.5
stage-1,non-demo,no_affidavit,GB,"{'n_estimators': 1, 'learning_rate': 0.001, 'subsample': 0.1, 'max_depth': 20}",ROS,3,[ 0.34771755  0.64694656  0.64722104  0.61350535  0.5764526   1.        ],[ 1.          0.78230769  0.78230769  0.57307692  0.38666667  0.        ],[ 0.4995      0.4999      0.50039706  0.50044737  0.5005    ],0.777544898998
stage-1,non-demo,no_affidavit,GB,"{'n_estimators': 1, 'learning_rate': 0.001, 'subsample': 0.1, 'max_depth': 20}",SMOTE,3,"[ 0.34771755  0.66519716  0.66518847  0.65587918  0.6538355   0.64876166
  0.63018729  0.59760192  1.        ]","[ 1.          0.69641026  0.69230769  0.62358974  0.60538462  0.51717949
  0.44        0.31948718  0.        ]","[ 0.4995      0.5         0.50043724  0.50046429  0.50047067  0.50047133
  0.50047744  0.5005    ]",0.753205872713
stage-1,non-demo,no_affidavit,GB,"{'n_estimators': 1, 'learning_rate': 0.001, 'subsample': 0.1, 'max_depth': 50}",None,3,"[ 0.34771755  0.38570138  0.44987269  0.40819238  0.67186803  0.72439479
  1.        ]","[ 1.          0.87564103  0.72487179  0.51358974  0.38641026  0.19948718
  0.        ]",[ 0.34773972  0.34840768  0.34873992  0.34927602  0.34940788  0.35027622],0.5
stage-1,non-demo,no_affidavit,GB,"{'n_estimators': 1, 'learning_rate': 0.001, 'subsample': 0.1, 'max_depth': 50}",ROS,3,[ 0.34771755  0.65280076  1.        ],[ 1.          0.70820513  0.        ],[ 0.4995  0.5005],0.753600677108
stage-1,non-demo,no_affidavit,GB,"{'n_estimators': 1, 'learning_rate': 0.001, 'subsample': 0.1, 'max_depth': 50}",SMOTE,3,[ 0.34771755  0.65706806  1.        ],[ 1.          0.70794872  0.        ],[ 0.4995  0.5005],0.754981269912
stage-1,non-demo,no_affidavit,GB,"{'n_estimators': 1, 'learning_rate': 0.001, 'subsample': 0.1, 'max_depth': 100}",None,3,"[ 0.34771755  0.38938154  0.45610687  0.40933789  0.66290614  0.71979695
  1.        ]","[ 1.          0.87820513  0.73538462  0.52153846  0.37666667  0.18179487
  0.        ]",[ 0.34773972  0.34840768  0.34873992  0.34927602  0.34940788  0.35027622],0.5
stage-1,non-demo,no_affidavit,GB,"{'n_estimators': 1, 'learning_rate': 0.001, 'subsample': 0.1, 'max_depth': 100}",ROS,3,[ 0.34771755  0.65168286  1.        ],[ 1.          0.73974359  0.        ],[ 0.4995  0.5005],0.764420507579
