crid,officer_id,cat_id,recc_finding,recc_outcome,finding_edit,outcome_edit,value,beat,location,add1,add2,city,incident_date,start_date,end_date,investigator_id,final_outcome_class
1064192,4639,03C,,600,No Affidavit,Unsustained,0,0511,19,,,,2013-08-01 00:00:00,2013-08-12,2013-12-04,283,not-sustained
1067225,4639,03D,,600,No Affidavit,Unsustained,0,0531,03,11206,S MICHIGAN AVE,CHICAGO IL 60628,2014-01-26 16:00:00,2014-01-28,2014-04-01,283,not-sustained
1067573,4639,12D,UN,600,Unfounded,Unsustained,0,0522,17,11800,S STATE ST,CHICAGO IL 60628,2014-02-03 11:30:00,2014-02-18,2014-08-19,309,not-sustained
1047077,4641,03D,,600,No Affidavit,Unsustained,0,1532,19,,,,2011-07-14 08:30:00,2011-07-19,2012-01-18,201,not-sustained
1069318,4641,03G,,600,No Affidavit,Unsustained,0,0512,17,10300,S COTTAGE GROVE AVE,CHICAGO IL,2014-05-21 15:30:00,2014-05-21,2014-07-21,578,not-sustained
1072188,4642,03D,,600,No Affidavit,Unsustained,0,0414,19,,,,2014-10-22 22:00:00,2014-10-23,2014-12-02,1223,not-sustained
1060797,4643,04E,,,Unknown,Unknown,?,0512,19,,,,2013-03-14 19:00:00,2013-03-18,2013-04-09,9,unknown
1064192,4643,03C,,600,No Affidavit,Unsustained,0,0511,19,,,,2013-08-01 00:00:00,2013-08-12,2013-12-04,283,not-sustained
1067225,4643,03D,,600,No Affidavit,Unsustained,0,0531,03,11206,S MICHIGAN AVE,CHICAGO IL 60628,2014-01-26 16:00:00,2014-01-28,2014-04-01,283,not-sustained
1068131,4643,03G,UN,600,Unfounded,Unsustained,0,2233,19,,,,2014-03-21 17:30:00,2014-03-22,2014-10-07,1493,not-sustained
1056404,4644,10U,,600,No Affidavit,Unsustained,0,0621,04,7808,S HALSTED ST,CHICAGO IL,2012-08-18 12:00:00,2012-08-18,2012-10-19,1014,not-sustained
1065106,4644,,,,Unknown,Unknown,?,1833,17,,E CHESTNUT ST,CHICAGO IL,2013-09-21 04:00:00,2013-09-23,,1317,open-investigation
1052857,4645,10U,,600,No Affidavit,Unsustained,0,1922,17,1907,W WAVELAND AVE,CHICAGO IL 60613,2012-03-24 23:21:00,2012-03-26,2012-04-17,611,not-sustained
1072790,4645,10T,,600,No Affidavit,Unsustained,0,1911,11,4700,N LINCOLN AVE,CHICAGO IL 60625,2014-09-21 02:45:00,2014-12-03,2015-03-11,1428,not-sustained
1048732,4646,03G,NS,600,Not Sustained,Unsustained,0,0225,19,,,,2011-09-22 00:00:00,2011-09-22,2012-07-23,83,not-sustained
1050529,4646,04J,,600,No Affidavit,Unsustained,0,0232,17,5800,S WABASH AVE,CHICAGO IL 60637,2011-12-06 16:00:00,2011-12-06,2012-08-23,1476,not-sustained
1054743,4646,10U,,600,No Affidavit,Unsustained,0,0233,19,,,,2012-06-13 19:00:00,2012-06-13,2012-10-25,1476,not-sustained
1069718,4646,10Z,,600,No Affidavit,Unsustained,0,0222,17,4434,S LAKE PARK AVE,CHICAGO IL,2014-06-06 17:00:00,2014-06-10,2014-10-07,1282,not-sustained
1069728,4647,,,,Unknown,Unknown,?,0812,17,6225,S MOODY AVE,CHICAGO IL,2014-04-12 12:06:00,2014-06-11,,1141,open-investigation
1052267,4648,10Z,UN,600,Unfounded,Unsustained,0,1924,19,,,,2012-03-01 15:56:00,2012-03-06,2014-06-20,1052,not-sustained
1053627,4648,10Z,,600,No Affidavit,Unsustained,0,1212,XX,1312,W WASHINGTON BLVD,CHICAGO IL 60607,2012-04-26 16:10:00,2012-04-27,2012-06-28,833,not-sustained
1072168,4649,,,,Unknown,Unknown,?,1211,17,2935,W WALTON ST,CHICAGO IL 60622,2014-10-09 15:30:00,2014-10-22,,106,open-investigation
1044424,4650,10J,SU,400,Sustained,Resigned,r,1923,17,3600,N SHEFFIELD AVE,CHICAGO IL,2011-03-27 00:00:00,2011-04-01,2012-05-18,134,sustained
1060931,4651,10U,,600,No Affidavit,Unsustained,0,1031,17,3016,S KEELER AVE,CHICAGO IL 60623,2013-03-23 00:00:00,2013-03-23,2013-07-09,1004,not-sustained
1046085,4653,04J,UN,600,Unfounded,Unsustained,0,1731,17,3600,N MILWAUKEE AVE,CHICAGO IL,2011-06-10 07:50:00,2011-06-11,2011-10-11,1244,not-sustained
1057798,4653,03C,NS,600,Not Sustained,Unsustained,0,1722,17,4255,N KNOX AVE,CHICAGO IL,2011-10-13 10:30:00,2012-10-15,2014-02-05,583,not-sustained
1054773,4654,10J,,600,No Affidavit,Unsustained,0,1814,17,1600,N CLARK ST,CHICAGO IL,2012-06-14 14:00:00,2012-06-14,2012-10-25,139,not-sustained
1067783,4654,07B,,600,No Affidavit,Unsustained,0,2532,17,1600,N LARAMIE AVE,CHICAGO IL 60639,2014-01-25 21:50:00,2014-03-04,2014-06-25,1429,not-sustained
1057153,4655,03C,,600,No Affidavit,Unsustained,0,0913,19,,,,2012-09-16 03:00:00,2012-09-19,2012-11-02,9,not-sustained
1059133,4655,05P,NS,600,Not Sustained,Unsustained,0,0831,19,,,,2012-12-14 11:00:00,2012-12-20,2013-12-11,657,not-sustained
1059735,4655,10Q,SU,000,Sustained,Noted,0,,XX,,,CHICAGO IL,2013-01-25 00:00:00,2013-01-25,2014-08-20,118,sustained
1065881,4656,05A,,600,No Affidavit,Unsustained,0,1135,17,2531,W FLOURNOY ST,CHICAGO IL 60612,2013-11-04 19:45:00,2013-11-04,2013-12-31,415,not-sustained
1069003,4657,03D,,600,No Affidavit,Unsustained,0,1021,18,1355,S CENTRAL PARK AVE,CHICAGO IL,2014-05-04 20:30:00,2014-05-07,2014-08-04,568,not-sustained
1061628,4658,05P,EX,600,Exonerated,Unsustained,0,1024,17,1937,S DRAKE AVE,CHICAGO IL,2013-04-20 18:10:00,2013-04-20,2013-12-11,1021,not-sustained
1065559,4658,03G,EX,600,Exonerated,Unsustained,0,1011,17,1328,S KOMENSKY AVE,CHICAGO IL 60623,2013-10-16 15:30:00,2013-10-16,2014-02-06,701,not-sustained
