crid,officer_id,cat_id,recc_finding,recc_outcome,finding_edit,outcome_edit,value,beat,location,add1,add2,city,incident_date,start_date,end_date,investigator_id,final_outcome_class
1057642,1,10B,UN,600,Unfounded,Unsustained,0,0114,11,100,S COLUMBUS DR,CHICAGO IL,2012-10-07 07:30:00,2012-10-09,2013-05-16,1393,not-sustained
1063196,1,10U,,600,No Affidavit,Unsustained,0,1423,17,1446,N TALMAN AVE,CHICAGO IL,2013-06-29 19:00:00,2013-06-29,2013-08-14,1060,not-sustained
1047453,2,10V,NS,600,Not Sustained,Unsustained,0,1131,19,,,,2011-06-24 17:00:00,2011-08-04,2012-07-30,583,not-sustained
1049623,2,05B,UN,600,Unfounded,Unsustained,0,1524,17,5200,W HURON ST,CHICAGO IL 60644,2011-10-27 16:00:00,2011-10-27,2012-07-06,275,not-sustained
1049701,2,06J,NS,600,Not Sustained,Unsustained,0,1513,17,5601,W MADISON ST,CHICAGO IL 60644,2011-10-26 00:00:00,2011-10-31,2012-12-20,740,not-sustained
1053368,3,09J,UN,600,Unfounded,Unsustained,0,1431,03,2135,N MILWAUKEE AVE,CHICAGO IL 60647,2012-04-16 00:00:00,2012-04-16,2013-10-11,31,not-sustained
1044345,4,05A,EX,600,Exonerated,Unsustained,0,0414,17,7900,S MERRILL AVE,CHICAGO IL,2011-03-27 22:30:00,2011-03-29,2014-07-29,437,not-sustained
1045049,4,03D,,600,No Affidavit,Unsustained,0,0621,17,7557,S EMERALD AVE,CHICAGO IL,2011-04-10 22:06:00,2011-04-29,2011-09-20,529,not-sustained
1049425,4,03B,,600,No Affidavit,Unsustained,0,0624,17,7900,S ELLIS AVE,CHICAGO IL 60619,2011-10-19 15:27:00,2011-10-19,2012-02-21,874,not-sustained
1054207,4,,,,Unknown,Unknown,?,0812,19,,,,2012-05-22 17:30:00,2012-05-22,,499,open-investigation
1055372,4,10U,,,Unknown,Unknown,?,0633,19,,,,2012-07-08 23:45:00,2012-07-09,2012-09-05,1024,unknown
1057173,4,,,,Unknown,Unknown,?,,XX,,,CHICAGO IL,2012-09-19 00:00:00,2012-09-19,,118,open-investigation
1072781,6,04E,,600,No Affidavit,Unsustained,0,2432,17,6464,N CLARK ST,CHICAGO IL 60626,2014-11-25 02:00:00,2014-12-03,2015-01-20,892,not-sustained
1063487,7,,,,Unknown,Unknown,?,1623,04,5151,N MILWAUKEE AVE,CHICAGO IL,2013-06-21 00:01:00,2013-07-12,,1317,open-investigation
1055105,8,01A,,,Unknown,Unknown,?,1124,19,,,,2012-06-27 00:00:00,2012-06-27,2012-10-17,309,unknown
1048246,10,04A,UN,600,Unfounded,Unsustained,0,2432,08,6464,N CLARK ST,CHICAGO IL 60626,2011-09-04 19:45:00,2011-09-04,2011-11-30,761,not-sustained
1049218,10,10U,,600,No Affidavit,Unsustained,0,2432,19,,,,2011-10-11 16:30:00,2011-10-11,2012-01-04,1140,not-sustained
1051489,11,10J,UN,600,Not Sustained,Unsustained,0,1654,13,519,W OHARE ST,CHICAGO IL 60666,2012-01-26 16:00:00,2012-01-26,2012-03-23,243,not-sustained
1057458,12,05P,NS,600,Not Sustained,Unsustained,0,2412,17,2032,W DEVON AVE,CHICAGO IL 60659,2012-09-29 00:00:00,2012-10-01,2013-12-12,778,not-sustained
1070067,12,03D,,600,No Affidavit,Unsustained,0,2432,17,6555,N GLENWOOD AVE,CHICAGO IL,2013-06-17 23:14:00,2014-06-30,2014-09-05,1455,not-sustained
1068427,12,03G,,600,No Affidavit,Unsustained,0,2412,17,2000,W DEVON AVE,CHICAGO IL 60645,2014-04-04 21:00:00,2014-04-06,2014-05-21,833,not-sustained
1054707,13,04D,,600,No Affidavit,Unsustained,0,1134,04,3151,W HARRISON ST,CHICAGO IL 60612,2012-02-22 14:40:00,2012-06-12,2012-11-21,704,not-sustained
1052932,13,05P,,,Unknown,Unknown,?,1125,17,2712,W JACKSON BLVD,CHICAGO IL 60612,2012-03-28 22:20:00,2012-03-28,2014-01-23,300,unknown
1054598,13,,,,Unknown,Unknown,?,1135,17,659,S FRANCISCO AVE,CHICAGO IL 60612,2012-06-08 00:00:00,2012-06-08,,297,open-investigation
1055548,13,05A,NS,600,Not Sustained,Unsustained,0,1122,17,3906,W JACKSON BLVD,CHICAGO IL 60624,2012-07-15 15:10:00,2012-07-15,2014-08-19,291,not-sustained
1065466,13,05A,NS,600,Not Sustained,Unsustained,0,1134,17,630,S SACRAMENTO BLVD,CHICAGO IL,2013-05-03 17:59:00,2013-10-10,2014-10-24,926,not-sustained
1066526,13,,,,Unknown,Unknown,?,1135,17,1123,S FRANCISCO AVE,CHICAGO IL 60612,2013-04-10 21:43:00,2013-12-10,,297,open-investigation
1068731,13,,,,Unknown,Unknown,?,1112,19,,,,2014-04-22 16:00:00,2014-04-22,,297,open-investigation
1062825,14,03D,,,Unknown,Unknown,?,1722,17,4021,W CULLOM AVE,CHICAGO IL,2012-01-01 22:35:00,2013-06-12,2013-07-09,986,unknown
1053955,14,03C,,600,No Affidavit,Unsustained,0,1731,19,,,,2012-05-11 12:51:00,2012-05-11,2012-07-18,1037,not-sustained
1044026,15,10J,,600,No Affidavit,Unsustained,0,1122,17,400,N AVERS AVE,CHICAGO IL 60624,2011-03-17 00:00:00,2011-03-17,2011-05-19,173,not-sustained
1055832,16,10U,,600,No Affidavit,Unsustained,0,1621,17,6333,N LA CROSSE AVE,CHICAGO IL,2012-07-25 05:30:00,2012-07-25,2012-10-03,239,not-sustained
1058239,16,10U,NS,600,Not Sustained,Unsustained,0,1632,19,,,,2012-11-05 01:31:00,2012-11-07,2013-02-14,967,not-sustained
1044863,17,03C,,600,No Affidavit,Unsustained,0,0614,19,,,,2011-04-19 20:30:00,2011-04-21,2011-07-11,833,not-sustained
1045770,17,10U,EX,600,Exonerated,Unsustained,0,0621,17,8044,S GREEN ST,CHICAGO IL 60620,2011-05-19 16:00:00,2011-05-31,2011-09-15,143,not-sustained
1046124,17,03C,NS,600,Not Sustained,Unsustained,0,0324,19,,,,2011-06-10 00:00:00,2011-06-13,2012-06-20,83,not-sustained
1044310,18,03G,,600,No Affidavit,Unsustained,0,1013,19,,,,2011-03-27 00:00:00,2011-03-28,2011-06-13,568,not-sustained
1045631,18,03G,,600,No Affidavit,Unsustained,0,1012,17,4009,W CULLERTON ST,CHICAGO IL,2011-04-16 05:30:00,2011-05-24,2011-07-29,1403,not-sustained
1059741,18,03D,NS,600,Not Sustained,Unsustained,0,1011,19,,,,2012-03-08 00:00:00,2013-01-25,2013-11-20,583,not-sustained
1054667,18,05A,,600,No Affidavit,Unsustained,0,1024,17,2359,S HOMAN AVE,CHICAGO IL 60623,2012-06-10 21:00:00,2012-06-11,2012-10-26,309,not-sustained
1055517,18,03C,,600,No Affidavit,Unsustained,0,1012,19,,,,2012-07-13 17:00:00,2012-07-13,2012-10-12,963,not-sustained
1058968,18,05P,,600,No Affidavit,Unsustained,0,1022,19,,,,2012-11-28 00:00:00,2012-12-12,2013-04-01,1456,not-sustained
1067320,19,04E,,600,No Affidavit,Unsustained,0,1422,04,3350,W EVERGREEN AVE,CHICAGO IL 60651,2014-01-03 12:00:00,2014-02-04,2014-04-04,993,not-sustained
1060811,20,,,,Unknown,Unknown,?,3100,03,6000,S HARLEM,SUMMIT IL,2013-03-18 00:00:00,2013-03-18,,451,open-investigation
1058034,21,03G,,600,No Affidavit,Unsustained,0,1623,19,,,,2011-05-07 00:00:00,2012-10-26,2013-03-07,9,not-sustained
1051103,21,05M,NS,600,Not Sustained,Unsustained,0,1722,04,4650,N PULASKI RD,CHICAGO IL 60630,2012-01-06 00:00:00,2012-01-06,2012-07-05,,not-sustained
1056550,21,03G,,600,No Affidavit,Unsustained,0,1712,17,4410,W LAWRENCE AVE,CHICAGO IL 60630,2012-08-10 09:28:00,2012-08-24,2012-11-01,937,not-sustained
1046700,22,10U,,600,No Affidavit,Unsustained,0,2432,19,,,,2011-07-04 21:00:00,2011-07-05,2011-09-12,321,not-sustained
1049218,22,10U,,600,No Affidavit,Unsustained,0,2432,19,,,,2011-10-11 16:30:00,2011-10-11,2012-01-04,1140,not-sustained
1058955,22,10U,,600,No Affidavit,Unsustained,0,2433,19,,,,2012-12-09 00:00:00,2012-12-11,2013-02-08,69,not-sustained
1066897,22,10U,,600,No Affidavit,Unsustained,0,2432,17,6464,N CLARK ST,CHICAGO IL,2014-01-04 17:16:00,2014-01-06,2014-03-13,69,not-sustained
1070761,22,10U,,600,No Affidavit,Unsustained,0,2424,19,,,,2014-08-03 18:00:00,2014-08-03,2014-10-07,1278,not-sustained
1072068,22,10U,,600,No Affidavit,Unsustained,0,2413,03,2540,W PETERSON AVE,CHICAGO IL 60659,2014-10-09 15:00:00,2014-10-17,2014-12-02,537,not-sustained
1047164,23,04E,,600,No Affidavit,Unsustained,0,0132,04,1718,S STATE ST,CHICAGO IL,2011-07-21 15:00:00,2011-07-22,2011-10-03,511,not-sustained
1066021,23,05A,UN,600,Unfounded,Unsustained,0,1822,04,1160,N LARRABEE ST,CHICAGO IL 60610,2013-11-11 10:35:00,2013-11-11,2015-02-09,645,not-sustained
1046078,24,10Z,UN,600,Unfounded,Unsustained,0,1924,17,3216,N SHEFFIELD AVE,CHICAGO IL,2011-04-02 17:00:00,2011-06-10,2011-09-22,683,not-sustained
1062818,24,05M,,600,No Affidavit,Unsustained,0,2024,17,5200,N LAKE SHORE DR NB,CHICAGO IL 60640,2013-06-11 20:50:00,2013-06-11,2013-08-28,309,not-sustained
1063508,24,01C,,,Unknown,Unknown,?,2024,17,5100,N SIMONDS DR,CHICAGO IL 60640,2013-07-11 21:07:00,2013-07-23,2014-10-28,960,unknown
1063997,24,05B,,600,No Affidavit,Unsustained,0,2032,17,5000,N DAMEN AVE,CHICAGO IL 60625,2013-08-02 22:40:00,2013-08-03,2013-11-12,1170,not-sustained
1048041,25,03D,NS,600,Sustained,Reprimand,0,0614,17,8100,S ASHLAND AVE,CHICAGO IL 60620,2011-08-26 19:30:00,2011-08-27,2014-11-10,1467,disciplined
1052356,25,10J,,600,No Affidavit,Unsustained,0,0323,17,100,E 75TH ST,CHICAGO IL,2012-03-06 14:00:00,2012-03-07,2012-07-09,1080,not-sustained
1053976,25,05A,,600,No Affidavit,Unsustained,0,0613,17,8201,S RACINE AVE,CHICAGO IL 60620,2012-05-11 00:00:00,2012-05-12,2012-07-26,1298,not-sustained
1056884,25,10U,,600,No Affidavit,Unsustained,0,0621,04,7808,S HALSTED ST,CHICAGO IL,2012-09-06 19:30:00,2012-09-06,2012-10-19,1014,not-sustained
1061230,25,10U,,,Unknown,Unknown,?,0621,04,7808,S HALSTED ST,CHICAGO IL 60620,2013-04-07 00:00:00,2013-04-07,2013-06-28,891,unknown
1062439,25,10P,SU,003,Sustained,3,3,0621,04,7808,S HALSTED ST,CHICAGO IL,2013-05-23 12:00:00,2013-05-23,2015-02-04,1197,disciplined
1060977,27,05A,UN,600,Unfounded,Unsustained,0,1921,17,2301,W ROSCOE ST,CHICAGO IL 60618,2013-03-26 00:00:00,2013-03-26,2013-10-09,562,not-sustained
1045095,29,03D,UN,600,Unfounded,Unsustained,0,0421,14,7700,S BURNHAM AVE,CHICAGO IL 60649,2011-04-25 00:00:00,2011-05-02,2014-08-20,1149,not-sustained
1045140,29,10T,NS,600,Not Sustained,Unsustained,0,0412,17,8300,S STONY ISLAND AVE,CHICAGO IL 60617,2011-04-26 21:42:00,2011-05-04,2014-01-29,12,not-sustained
1045982,29,10U,NS,600,Not Sustained,Unsustained,0,0422,19,,,,2011-06-07 00:00:00,2011-06-08,2012-04-03,940,not-sustained
1047025,29,10U,,600,No Affidavit,Unsustained,0,0412,17,1215,E 83RD ST,CHICAGO IL,2011-07-17 17:00:00,2011-07-18,2011-10-05,720,not-sustained
1045139,30,05B,NS,600,Not Sustained,Unsustained,0,0422,17,8100,S ESSEX AVE,CHICAGO IL,2011-05-04 07:49:00,2011-05-04,2013-03-26,1149,not-sustained
1054798,31,10D,,600,No Affidavit,Unsustained,0,2232,17,10605,S SANGAMON ST,CHICAGO IL 60643,2012-06-15 00:00:00,2012-06-15,2012-08-15,688,not-sustained
1049649,32,10U,UN,600,Unfounded,Unsustained,0,0234,03,1352,E 53RD ST,CHICAGO IL 60615,2011-10-28 16:25:00,2011-10-28,2012-05-31,680,not-sustained
1055200,32,05A,NS,600,Not Sustained,Unsustained,0,0133,17,2731,S DEARBORN ST,CHICAGO IL 60616,2012-06-30 23:30:00,2012-07-02,2014-05-08,24,not-sustained
1045556,33,05A,,600,No Affidavit,Unsustained,0,0513,17,10758,S INDIANA AVE,CHICAGO IL 60628,2011-05-17 00:00:00,2011-05-20,2011-08-22,760,not-sustained
1046757,33,05L,UN,600,Unfounded,Unsustained,0,0532,17,12200,S MICHIGAN AVE,CHICAGO IL,2011-07-05 17:00:00,2011-07-07,2013-03-01,208,not-sustained
1047902,33,10Z,,600,No Affidavit,Unsustained,0,0524,17,833,W 115TH ST,CHICAGO IL 60643,2011-08-20 00:00:00,2011-08-22,2011-12-19,427,not-sustained
1048905,33,01B,NS,600,Not Sustained,Unsustained,0,0123,17,1100,S STATE ST,CHICAGO IL 60605,2011-09-28 00:00:00,2011-09-29,2012-05-14,705,not-sustained
1055462,33,05B,UN,600,Unfounded,Unsustained,0,2234,17,1100,W 115TH ST,CHICAGO IL,2012-07-11 22:15:00,2012-07-11,2015-01-08,1149,not-sustained
1055564,33,04E,NS,600,Not Sustained,Unsustained,0,0531,04,727,E 111TH ST,CHICAGO IL 60628,2012-07-12 00:10:00,2012-07-16,2012-09-20,1309,not-sustained
1064007,33,03G,,600,No Affidavit,Unsustained,0,0524,17,11500,S HALSTED ST,CHICAGO IL 60628,2013-08-02 19:16:00,2013-08-03,2013-10-22,910,not-sustained
1064963,33,10U,,600,No Affidavit,Unsustained,0,0513,19,,,,2013-09-16 18:00:00,2013-09-17,2013-12-13,193,not-sustained
1066173,34,10U,,600,No Affidavit,Unsustained,0,0433,19,,,,2013-11-19 06:30:00,2013-11-19,2014-03-21,3,not-sustained
1058657,36,10Z,,,Unknown,Unknown,?,0133,17,2710,S DEARBORN ST,CHICAGO IL,2012-10-18 16:00:00,2012-11-27,2013-01-22,1052,unknown
1044509,37,10D,,600,No Affidavit,Unsustained,0,0411,17,7600,S SOUTH CHICAGO AVE,CHICAGO IL 60619,2011-04-04 19:35:00,2011-04-05,2011-06-01,1138,not-sustained
1049995,37,07B,SU,100,Sustained,Reprimand,0,0421,17,2400,E 79TH ST,CHICAGO IL 60649,2011-11-03 00:00:00,2011-11-14,2014-01-15,1138,disciplined
1061159,37,10U,,600,No Affidavit,Unsustained,0,0414,17,7900,S YATES BLVD,CHICAGO IL,2012-11-30 23:00:00,2013-04-03,2013-09-12,1138,not-sustained
1064951,37,10U,,600,No Affidavit,Unsustained,0,0414,17,7800,S BENNETT AVE,CHICAGO IL 60649,2013-09-17 04:30:00,2013-09-17,2014-03-05,1138,not-sustained
1044373,38,10U,NS,600,Not Sustained,Unsustained,0,2515,19,,,,2011-03-30 00:00:00,2011-03-30,2011-06-17,1443,not-sustained
1055068,38,05Q,,600,No Affidavit,Unsustained,0,2524,19,,,,2011-05-19 10:43:00,2012-06-26,2012-08-06,1113,not-sustained
1049523,40,05B,UN,600,Unfounded,Unsustained,0,0531,04,727,E 111TH ST,CHICAGO IL 60628,2011-10-22 00:00:00,2011-10-24,2014-06-17,489,not-sustained
1068999,40,,,,Unknown,Unknown,?,0424,17,3234,E 87TH ST,CHICAGO IL 60617,2014-05-06 20:45:00,2014-05-06,,753,open-investigation
1069593,40,03D,,600,No Affidavit,Unsustained,0,0423,17,8700,S COLFAX AVE,CHICAGO IL,2014-05-16 16:00:00,2014-06-04,2014-08-25,1223,not-sustained
1052250,41,03B,,600,No Affidavit,Unsustained,0,0724,17,6300,S CARPENTER ST,CHICAGO IL 60621,2012-02-25 22:30:00,2012-03-01,2012-04-12,1091,not-sustained
1058466,41,04E,,600,No Affidavit,Unsustained,0,0831,17,2609,W LITHUANIAN PLAZA CT,CHICAGO IL 60629,2012-11-08 00:00:00,2012-11-16,2013-01-14,1091,not-sustained
1063305,41,10U,,600,No Affidavit,Unsustained,0,0812,17,5946,S MAJOR AVE,CHICAGO IL,2013-07-05 02:00:00,2013-07-05,2013-09-05,1091,not-sustained
1065222,41,05P,,,Unknown,Unknown,?,0824,17,5645,S ARTESIAN AVE,CHICAGO IL 60629,2013-09-29 14:09:00,2013-10-01,2014-10-28,899,unknown
1067287,41,,,,Unknown,Unknown,?,0831,17,7259,S MOZART ST,CHICAGO IL 60629,2014-01-31 19:35:00,2014-01-31,,899,open-investigation
1067766,41,03B,,600,No Affidavit,Unsustained,0,0832,17,6900,S BELL AVE,CHICAGO IL 60636,2014-03-03 15:45:00,2014-03-03,2014-12-24,55,not-sustained
1061016,42,10U,,600,No Affidavit,Unsustained,0,4100,19,,,,2013-03-28 12:00:00,2013-03-28,2013-06-25,763,not-sustained
1061408,42,09K,UN,600,Unfounded,Unsustained,0,0531,04,727,E 111TH ST,CHICAGO IL 60628,2013-04-12 10:30:00,2013-04-16,2013-10-04,1284,not-sustained
1058329,43,07B,UN,600,Unfounded,Unsustained,0,0334,17,7100,S SOUTH SHORE DR,CHICAGO IL,2012-11-06 23:30:00,2012-11-09,2013-03-29,927,not-sustained
1046479,44,05M,,,Unknown,Unknown,?,0413,19,,,,2011-06-24 23:00:00,2011-06-27,2014-11-05,437,unknown
1052586,44,03D,,600,No Affidavit,Unsustained,0,0511,17,10118,S VERNON AVE,CHICAGO IL 60628,2012-03-15 00:50:00,2012-03-15,2012-07-17,904,not-sustained
1062128,45,10U,,600,No Affidavit,Unsustained,0,1731,19,,,,2013-05-10 10:30:00,2013-05-11,2013-12-04,648,not-sustained
1044155,46,01B,UN,600,Unfounded,Unsustained,0,1833,14,,E CHICAGO AVE,CHICAGO IL,2011-03-19 19:00:00,2011-03-22,2014-08-19,1456,not-sustained
1044292,46,10U,,,Unknown,Unknown,?,1831,03,340,N DEARBORN ST,CHICAGO IL 60654,2011-03-27 16:30:00,2011-03-27,2011-05-13,1231,unknown
1044299,46,10V,,600,No Affidavit,Unsustained,0,1833,17,835,N MICHIGAN AVE,CHICAGO IL 60611,2011-03-27 18:00:00,2011-03-27,2011-06-21,877,not-sustained
1051075,46,10U,,,Unknown,Unknown,?,1834,14,233,E SUPERIOR ST,CHICAGO IL,2012-01-03 21:00:00,2012-01-05,2012-03-02,702,unknown
1055413,46,10J,,600,No Affidavit,Unsustained,0,1834,17,255,E GRAND AVE,CHICAGO IL,2012-07-07 16:12:00,2012-07-10,2012-10-25,801,not-sustained
1067349,46,10U,,600,No Affidavit,Unsustained,0,1821,17,424,W GOETHE ST,CHICAGO IL,2014-01-31 18:20:00,2014-02-05,2014-03-12,1096,not-sustained
1058148,48,05H,SU,100,Sustained,Reprimand,0,1411,17,2719,N MAPLEWOOD AVE,CHICAGO IL 60647,2012-11-01 02:22:00,2012-11-01,2014-01-10,1156,disciplined
1061127,49,05A,NS,600,Not Sustained,Unsustained,0,1112,17,3900,W AUGUSTA BLVD,CHICAGO IL,2013-04-01 01:00:00,2013-04-02,2014-10-23,297,not-sustained
1055313,50,10U,UN,600,Unfounded,Unsustained,0,2411,19,,,,2012-07-05 00:00:00,2012-07-06,2012-10-25,1339,not-sustained
1067138,51,10U,,600,No Affidavit,Unsustained,0,0421,17,7834,S MARQUETTE AVE,CHICAGO IL 60649,2014-01-22 01:00:00,2014-01-22,2014-04-03,949,not-sustained
1058822,52,10U,,600,No Affidavit,Unsustained,0,0421,17,2836,E 78TH ST,CHICAGO IL 60649,2012-11-20 02:30:00,2012-12-05,2013-01-22,567,not-sustained
1058936,52,05A,SU,000,Sustained,Noted,0,0321,19,,,,2012-12-10 04:39:00,2012-12-10,2014-10-23,645,sustained
1067068,53,10U,,600,No Affidavit,Unsustained,0,0825,19,,,,2014-01-16 17:48:00,2014-01-16,2014-05-12,921,not-sustained
1072754,53,03G,,,Unknown,Unknown,?,0813,17,4553,W 56TH ST,CHICAGO IL 60629,2014-12-01 19:04:00,2014-12-01,2015-02-05,260,unknown
1048978,54,05P,UN,600,Unfounded,Unsustained,0,0921,17,3108,W 40TH ST,CHICAGO IL 60632,2011-10-02 00:00:00,2011-10-02,2014-03-24,899,not-sustained
1052769,54,04J,,600,No Affidavit,Unsustained,0,0932,17,5232,S PAULINA ST,CHICAGO IL 60609,2012-03-20 00:45:00,2012-03-22,2012-05-21,417,not-sustained
1073145,54,,,,Unknown,Unknown,?,0931,17,4701,S DAMEN AVE,CHICAGO IL,2014-12-29 10:15:00,2014-12-29,,719,open-investigation
1061167,56,10U,NS,600,Not Sustained,Unsustained,0,2512,19,,,,2013-04-03 18:35:00,2013-04-03,2014-02-10,1317,not-sustained
1063108,58,03D,UN,600,Unfounded,Unsustained,0,0533,19,,,,2013-06-22 23:30:00,2013-06-25,2014-04-08,1310,not-sustained
1066850,58,,,,Unknown,Unknown,?,0835,19,,,,2014-01-01 02:00:00,2014-01-02,,121,open-investigation
1053507,59,10T,,,Unknown,Unknown,?,0423,19,,,,2012-03-23 00:00:00,2012-04-23,2012-07-23,1351,unknown
1049853,61,10U,,600,No Affidavit,Unsustained,0,1324,17,1363,W ANCONA ST,CHICAGO IL,2011-07-11 22:00:00,2011-11-07,2012-01-30,653,not-sustained
1066494,63,10U,,600,No Affidavit,Unsustained,0,0323,17,7459,S CHAMPLAIN AVE,CHICAGO IL 60619,2013-12-07 15:00:00,2013-12-07,2014-01-29,71,not-sustained
1066732,63,10U,,600,No Affidavit,Unsustained,0,0324,19,,,,2013-12-17 20:00:00,2013-12-23,2014-03-20,555,not-sustained
1049362,64,01B,NS,600,Not Sustained,Unsustained,0,0823,17,3420,W 63RD ST,CHICAGO IL,2011-09-27 18:20:00,2011-10-17,2012-12-05,319,not-sustained
1057756,65,05A,NS,600,Not Sustained,Unsustained,0,1212,19,,,,2012-10-10 00:00:00,2012-10-13,2014-05-08,319,not-sustained
1045377,66,05A,UN,600,Unfounded,Unsustained,0,0331,17,6541,S CORNELL DR,CHICAGO IL,2011-05-09 23:35:00,2011-05-12,2012-11-07,645,not-sustained
1057009,66,10U,,600,No Affidavit,Unsustained,0,0322,19,,,,2012-08-03 00:00:00,2012-09-12,2013-01-18,555,not-sustained
1069477,66,03G,,600,No Affidavit,Unsustained,0,0332,17,7050,S STONY ISLAND AVE,CHICAGO IL,2014-05-17 02:30:00,2014-05-29,2014-09-29,1039,not-sustained
1051468,67,03D,,600,No Affidavit,Unsustained,0,0213,08,3510,S MICHIGAN AVE,CHICAGO IL 60653,2012-01-25 00:00:00,2012-01-25,2012-04-02,1124,not-sustained
1045811,68,10Z,EX,600,Exonerated,Unsustained,0,1113,17,,N KILBOURN AVE,CHICAGO IL,2011-05-25 22:29:00,2011-06-01,2012-04-03,567,not-sustained
1047283,68,04E,,600,No Affidavit,Unsustained,0,1134,04,1011,S HOMAN AVE,CHICAGO IL 60624,2011-07-25 00:00:00,2011-07-27,2011-10-24,450,not-sustained
1053075,68,03G,,600,No Affidavit,Unsustained,0,1135,17,732,S WASHTENAW AVE,CHICAGO IL 60612,2012-04-03 22:30:00,2012-04-04,2012-05-21,479,not-sustained
1053154,68,05M,UN,600,Unfounded,Unsustained,0,1122,17,3900,W JACKSON BLVD,CHICAGO IL 60624,2012-04-07 00:00:00,2012-04-09,2014-01-27,300,not-sustained
1053475,68,05A,UN,600,Unfounded,Unsustained,0,1133,19,,,,2012-04-20 01:04:00,2012-04-20,2014-01-27,771,not-sustained
1058330,68,05H,,,Unknown,Unknown,?,1132,17,3950,W FLOURNOY ST,CHICAGO IL,2012-11-09 22:28:00,2012-11-10,2014-02-13,297,unknown
1066840,68,10D,,600,No Affidavit,Unsustained,0,1133,19,,,,2014-01-01 00:03:00,2014-01-01,2014-06-05,671,not-sustained
1069337,68,10U,,600,No Affidavit,Unsustained,0,1132,17,4159,W JACKSON BLVD,CHICAGO IL 60624,2014-05-22 04:00:00,2014-05-22,2014-07-04,1331,not-sustained
1047039,69,03D,,600,No Affidavit,Unsustained,0,0225,14,5501,S STATE ST,CHICAGO IL 60621,2011-07-17 00:00:00,2011-07-18,2012-05-16,118,not-sustained
1060886,69,03G,UN,600,Unfounded,Unsustained,0,0624,17,7900,S COTTAGE GROVE AVE,CHICAGO IL,2013-03-21 19:30:00,2013-03-21,2013-07-30,1080,not-sustained
1064206,69,03B,,,Unknown,Unknown,?,0232,17,5800,S PRAIRIE AVE,CHICAGO IL 60637,2013-08-12 19:30:00,2013-08-12,2013-10-23,1358,unknown
1069945,69,03G,,,Unknown,Unknown,?,0624,17,7900,S ELLIS AVE,CHICAGO IL 60619,2014-06-22 22:40:00,2014-06-22,2014-07-15,987,unknown
1054983,70,09C,NS,600,Not Sustained,Unsustained,0,1611,17,7025,N OSCEOLA AVE,CHICAGO IL,2012-06-22 00:00:00,2012-06-22,2013-03-08,316,not-sustained
1047313,71,04E,NS,600,Not Sustained,Unsustained,0,0913,17,3500,S CALIFORNIA AVE,CHICAGO IL,2011-07-20 10:25:00,2011-07-29,2011-10-20,257,not-sustained
1055998,72,10U,NS,600,Not Sustained,Unsustained,0,0321,04,7040,S COTTAGE GROVE AVE,CHICAGO IL,2012-08-01 17:50:00,2012-08-01,2013-10-17,1132,not-sustained
1066301,72,03D,,600,No Affidavit,Unsustained,0,0321,17,1406,E 67TH ST,CHICAGO IL 60637,2013-11-25 16:00:00,2013-11-26,2014-01-14,1452,not-sustained
1053179,74,01B,UN,600,Unfounded,Unsustained,0,1834,17,300,E OHIO ST,CHICAGO IL 60611,2012-04-09 00:00:00,2012-04-09,2014-05-19,981,not-sustained
1060481,75,09C,NS,600,Not Sustained,Unsustained,0,1831,17,342,W GRAND AVE,CHICAGO IL,2013-03-01 13:56:00,2013-03-01,2013-08-08,1296,not-sustained
1071520,77,,,,Unknown,Unknown,?,0225,04,5101,S WENTWORTH AVE,CHICAGO IL,2014-09-13 13:00:00,2014-09-13,,1496,open-investigation
1053941,78,10U,,600,No Affidavit,Unsustained,0,0623,17,,W 79TH ST,CHICAGO IL 60619,2012-05-11 06:02:00,2012-05-11,2012-06-27,1080,not-sustained
1057737,78,10U,NS,600,Not Sustained,Unsustained,0,0624,17,7500,S EBERHART AVE,CHICAGO IL 60619,2012-10-05 00:00:00,2012-10-12,2013-01-31,1024,not-sustained
1064510,78,05A,,600,No Affidavit,Unsustained,0,0624,17,7900,S ELLIS AVE,CHICAGO IL 60619,2013-08-17 17:35:00,2013-08-26,2013-11-05,1260,not-sustained
1066696,78,,,,Unknown,Unknown,?,0621,04,7808,S HALSTED ST,CHICAGO IL 60620,2013-12-20 05:42:00,2013-12-20,,1123,open-investigation
1068108,78,05A,EX,600,Exonerated,Unsustained,0,0624,17,7813,S EBERHART AVE,CHICAGO IL,2013-10-22 01:09:00,2014-03-20,2014-08-19,1216,not-sustained
1059226,80,10U,,600,No Affidavit,Unsustained,0,1021,19,,,,2012-12-28 20:30:00,2012-12-28,2013-02-14,943,not-sustained
1050057,81,03C,NS,600,Exonerated,Unsustained,0,0612,17,7600,S MORGAN ST,CHICAGO IL 60620,2011-11-06 00:00:00,2011-11-16,2012-03-23,1467,not-sustained
1069474,82,10U,,600,No Affidavit,Unsustained,0,0411,17,8110,S WOODLAWN AVE,CHICAGO IL,2014-05-29 19:00:00,2014-05-29,2014-07-22,1223,not-sustained
1072560,82,10U,UN,600,Unfounded,Unsustained,0,0423,19,,,,2014-11-14 19:13:00,2014-11-14,2015-01-14,1223,not-sustained
1046619,83,10L,UN,600,Unfounded,Unsustained,0,1232,17,1260,S UNION AVE,CHICAGO IL,2011-06-14 01:15:00,2011-07-01,2012-03-22,940,not-sustained
