,crid,officer_id,cat_id,recc_finding,recc_outcome,finding_edit,outcome_edit,value,beat,location,add1,add2,city,incident_date,start_date,end_date,investigator_id,final_outcome_class
0,1057642,1.0,10B,UN,600.0,Unfounded,Unsustained,0,114.0,11,100.0,S COLUMBUS DR,CHICAGO IL,2012-10-07 07:30:00,2012-10-09,2013-05-16,1393.0,not-sustained
1,1063196,1.0,10U,,600.0,No Affidavit,Unsustained,0,1423.0,17,1446.0,N TALMAN AVE,CHICAGO IL,2013-06-29 19:00:00,2013-06-29,2013-08-14,1060.0,not-sustained
3,1049623,2.0,05B,UN,600.0,Unfounded,Unsustained,0,1524.0,17,5200.0,W HURON ST,CHICAGO IL 60644,2011-10-27 16:00:00,2011-10-27,2012-07-06,275.0,not-sustained
4,1049701,2.0,06J,NS,600.0,Not Sustained,Unsustained,0,1513.0,17,5601.0,W MADISON ST,CHICAGO IL 60644,2011-10-26 00:00:00,2011-10-31,2012-12-20,740.0,not-sustained
5,1053368,3.0,09J,UN,600.0,Unfounded,Unsustained,0,1431.0,03,2135.0,N MILWAUKEE AVE,CHICAGO IL 60647,2012-04-16 00:00:00,2012-04-16,2013-10-11,31.0,not-sustained
6,1044345,4.0,05A,EX,600.0,Exonerated,Unsustained,0,414.0,17,7900.0,S MERRILL AVE,CHICAGO IL,2011-03-27 22:30:00,2011-03-29,2014-07-29,437.0,not-sustained
7,1045049,4.0,03D,,600.0,No Affidavit,Unsustained,0,621.0,17,7557.0,S EMERALD AVE,CHICAGO IL,2011-04-10 22:06:00,2011-04-29,2011-09-20,529.0,not-sustained
8,1049425,4.0,03B,,600.0,No Affidavit,Unsustained,0,624.0,17,7900.0,S ELLIS AVE,CHICAGO IL 60619,2011-10-19 15:27:00,2011-10-19,2012-02-21,874.0,not-sustained
12,1072781,6.0,04E,,600.0,No Affidavit,Unsustained,0,2432.0,17,6464.0,N CLARK ST,CHICAGO IL 60626,2014-11-25 02:00:00,2014-12-03,2015-01-20,892.0,not-sustained
13,1063487,7.0,,,,Unknown,Unknown,?,1623.0,04,5151.0,N MILWAUKEE AVE,CHICAGO IL,2013-06-21 00:01:00,2013-07-12,,1317.0,open-investigation
15,1048246,10.0,04A,UN,600.0,Unfounded,Unsustained,0,2432.0,08,6464.0,N CLARK ST,CHICAGO IL 60626,2011-09-04 19:45:00,2011-09-04,2011-11-30,761.0,not-sustained
17,1051489,11.0,10J,UN,600.0,Not Sustained,Unsustained,0,1654.0,13,519.0,W OHARE ST,CHICAGO IL 60666,2012-01-26 16:00:00,2012-01-26,2012-03-23,243.0,not-sustained
18,1057458,12.0,05P,NS,600.0,Not Sustained,Unsustained,0,2412.0,17,2032.0,W DEVON AVE,CHICAGO IL 60659,2012-09-29 00:00:00,2012-10-01,2013-12-12,778.0,not-sustained
19,1070067,12.0,03D,,600.0,No Affidavit,Unsustained,0,2432.0,17,6555.0,N GLENWOOD AVE,CHICAGO IL,2013-06-17 23:14:00,2014-06-30,2014-09-05,1455.0,not-sustained
20,1068427,12.0,03G,,600.0,No Affidavit,Unsustained,0,2412.0,17,2000.0,W DEVON AVE,CHICAGO IL 60645,2014-04-04 21:00:00,2014-04-06,2014-05-21,833.0,not-sustained
21,1054707,13.0,04D,,600.0,No Affidavit,Unsustained,0,1134.0,04,3151.0,W HARRISON ST,CHICAGO IL 60612,2012-02-22 14:40:00,2012-06-12,2012-11-21,704.0,not-sustained
22,1052932,13.0,05P,,,Unknown,Unknown,?,1125.0,17,2712.0,W JACKSON BLVD,CHICAGO IL 60612,2012-03-28 22:20:00,2012-03-28,2014-01-23,300.0,unknown
23,1054598,13.0,,,,Unknown,Unknown,?,1135.0,17,659.0,S FRANCISCO AVE,CHICAGO IL 60612,2012-06-08 00:00:00,2012-06-08,,297.0,open-investigation
24,1055548,13.0,05A,NS,600.0,Not Sustained,Unsustained,0,1122.0,17,3906.0,W JACKSON BLVD,CHICAGO IL 60624,2012-07-15 15:10:00,2012-07-15,2014-08-19,291.0,not-sustained
25,1065466,13.0,05A,NS,600.0,Not Sustained,Unsustained,0,1134.0,17,630.0,S SACRAMENTO BLVD,CHICAGO IL,2013-05-03 17:59:00,2013-10-10,2014-10-24,926.0,not-sustained
26,1066526,13.0,,,,Unknown,Unknown,?,1135.0,17,1123.0,S FRANCISCO AVE,CHICAGO IL 60612,2013-04-10 21:43:00,2013-12-10,,297.0,open-investigation
28,1062825,14.0,03D,,,Unknown,Unknown,?,1722.0,17,4021.0,W CULLOM AVE,CHICAGO IL,2012-01-01 22:35:00,2013-06-12,2013-07-09,986.0,unknown
30,1044026,15.0,10J,,600.0,No Affidavit,Unsustained,0,1122.0,17,400.0,N AVERS AVE,CHICAGO IL 60624,2011-03-17 00:00:00,2011-03-17,2011-05-19,173.0,not-sustained
31,1055832,16.0,10U,,600.0,No Affidavit,Unsustained,0,1621.0,17,6333.0,N LA CROSSE AVE,CHICAGO IL,2012-07-25 05:30:00,2012-07-25,2012-10-03,239.0,not-sustained
34,1045770,17.0,10U,EX,600.0,Exonerated,Unsustained,0,621.0,17,8044.0,S GREEN ST,CHICAGO IL 60620,2011-05-19 16:00:00,2011-05-31,2011-09-15,143.0,not-sustained
37,1045631,18.0,03G,,600.0,No Affidavit,Unsustained,0,1012.0,17,4009.0,W CULLERTON ST,CHICAGO IL,2011-04-16 05:30:00,2011-05-24,2011-07-29,1403.0,not-sustained
39,1054667,18.0,05A,,600.0,No Affidavit,Unsustained,0,1024.0,17,2359.0,S HOMAN AVE,CHICAGO IL 60623,2012-06-10 21:00:00,2012-06-11,2012-10-26,309.0,not-sustained
42,1067320,19.0,04E,,600.0,No Affidavit,Unsustained,0,1422.0,04,3350.0,W EVERGREEN AVE,CHICAGO IL 60651,2014-01-03 12:00:00,2014-02-04,2014-04-04,993.0,not-sustained
43,1060811,20.0,,,,Unknown,Unknown,?,3100.0,03,6000.0,S HARLEM,SUMMIT IL,2013-03-18 00:00:00,2013-03-18,,451.0,open-investigation
45,1051103,21.0,05M,NS,600.0,Not Sustained,Unsustained,0,1722.0,04,4650.0,N PULASKI RD,CHICAGO IL 60630,2012-01-06 00:00:00,2012-01-06,2012-07-05,0.0,not-sustained
46,1056550,21.0,03G,,600.0,No Affidavit,Unsustained,0,1712.0,17,4410.0,W LAWRENCE AVE,CHICAGO IL 60630,2012-08-10 09:28:00,2012-08-24,2012-11-01,937.0,not-sustained
50,1066897,22.0,10U,,600.0,No Affidavit,Unsustained,0,2432.0,17,6464.0,N CLARK ST,CHICAGO IL,2014-01-04 17:16:00,2014-01-06,2014-03-13,69.0,not-sustained
52,1072068,22.0,10U,,600.0,No Affidavit,Unsustained,0,2413.0,03,2540.0,W PETERSON AVE,CHICAGO IL 60659,2014-10-09 15:00:00,2014-10-17,2014-12-02,537.0,not-sustained
53,1047164,23.0,04E,,600.0,No Affidavit,Unsustained,0,132.0,04,1718.0,S STATE ST,CHICAGO IL,2011-07-21 15:00:00,2011-07-22,2011-10-03,511.0,not-sustained
54,1066021,23.0,05A,UN,600.0,Unfounded,Unsustained,0,1822.0,04,1160.0,N LARRABEE ST,CHICAGO IL 60610,2013-11-11 10:35:00,2013-11-11,2015-02-09,645.0,not-sustained
55,1046078,24.0,10Z,UN,600.0,Unfounded,Unsustained,0,1924.0,17,3216.0,N SHEFFIELD AVE,CHICAGO IL,2011-04-02 17:00:00,2011-06-10,2011-09-22,683.0,not-sustained
56,1062818,24.0,05M,,600.0,No Affidavit,Unsustained,0,2024.0,17,5200.0,N LAKE SHORE DR NB,CHICAGO IL 60640,2013-06-11 20:50:00,2013-06-11,2013-08-28,309.0,not-sustained
57,1063508,24.0,01C,,,Unknown,Unknown,?,2024.0,17,5100.0,N SIMONDS DR,CHICAGO IL 60640,2013-07-11 21:07:00,2013-07-23,2014-10-28,960.0,unknown
58,1063997,24.0,05B,,600.0,No Affidavit,Unsustained,0,2032.0,17,5000.0,N DAMEN AVE,CHICAGO IL 60625,2013-08-02 22:40:00,2013-08-03,2013-11-12,1170.0,not-sustained
59,1048041,25.0,03D,NS,600.0,Sustained,Reprimand,0,614.0,17,8100.0,S ASHLAND AVE,CHICAGO IL 60620,2011-08-26 19:30:00,2011-08-27,2014-11-10,1467.0,disciplined
60,1052356,25.0,10J,,600.0,No Affidavit,Unsustained,0,323.0,17,100.0,E 75TH ST,CHICAGO IL,2012-03-06 14:00:00,2012-03-07,2012-07-09,1080.0,not-sustained
61,1053976,25.0,05A,,600.0,No Affidavit,Unsustained,0,613.0,17,8201.0,S RACINE AVE,CHICAGO IL 60620,2012-05-11 00:00:00,2012-05-12,2012-07-26,1298.0,not-sustained
62,1056884,25.0,10U,,600.0,No Affidavit,Unsustained,0,621.0,04,7808.0,S HALSTED ST,CHICAGO IL,2012-09-06 19:30:00,2012-09-06,2012-10-19,1014.0,not-sustained
63,1061230,25.0,10U,,,Unknown,Unknown,?,621.0,04,7808.0,S HALSTED ST,CHICAGO IL 60620,2013-04-07 00:00:00,2013-04-07,2013-06-28,891.0,unknown
64,1062439,25.0,10P,SU,3.0,Sustained,3,3,621.0,04,7808.0,S HALSTED ST,CHICAGO IL,2013-05-23 12:00:00,2013-05-23,2015-02-04,1197.0,disciplined
65,1060977,27.0,05A,UN,600.0,Unfounded,Unsustained,0,1921.0,17,2301.0,W ROSCOE ST,CHICAGO IL 60618,2013-03-26 00:00:00,2013-03-26,2013-10-09,562.0,not-sustained
66,1045095,29.0,03D,UN,600.0,Unfounded,Unsustained,0,421.0,14,7700.0,S BURNHAM AVE,CHICAGO IL 60649,2011-04-25 00:00:00,2011-05-02,2014-08-20,1149.0,not-sustained
67,1045140,29.0,10T,NS,600.0,Not Sustained,Unsustained,0,412.0,17,8300.0,S STONY ISLAND AVE,CHICAGO IL 60617,2011-04-26 21:42:00,2011-05-04,2014-01-29,12.0,not-sustained
69,1047025,29.0,10U,,600.0,No Affidavit,Unsustained,0,412.0,17,1215.0,E 83RD ST,CHICAGO IL,2011-07-17 17:00:00,2011-07-18,2011-10-05,720.0,not-sustained
70,1045139,30.0,05B,NS,600.0,Not Sustained,Unsustained,0,422.0,17,8100.0,S ESSEX AVE,CHICAGO IL,2011-05-04 07:49:00,2011-05-04,2013-03-26,1149.0,not-sustained
71,1054798,31.0,10D,,600.0,No Affidavit,Unsustained,0,2232.0,17,10605.0,S SANGAMON ST,CHICAGO IL 60643,2012-06-15 00:00:00,2012-06-15,2012-08-15,688.0,not-sustained
72,1049649,32.0,10U,UN,600.0,Unfounded,Unsustained,0,234.0,03,1352.0,E 53RD ST,CHICAGO IL 60615,2011-10-28 16:25:00,2011-10-28,2012-05-31,680.0,not-sustained
73,1055200,32.0,05A,NS,600.0,Not Sustained,Unsustained,0,133.0,17,2731.0,S DEARBORN ST,CHICAGO IL 60616,2012-06-30 23:30:00,2012-07-02,2014-05-08,24.0,not-sustained
74,1045556,33.0,05A,,600.0,No Affidavit,Unsustained,0,513.0,17,10758.0,S INDIANA AVE,CHICAGO IL 60628,2011-05-17 00:00:00,2011-05-20,2011-08-22,760.0,not-sustained
75,1046757,33.0,05L,UN,600.0,Unfounded,Unsustained,0,532.0,17,12200.0,S MICHIGAN AVE,CHICAGO IL,2011-07-05 17:00:00,2011-07-07,2013-03-01,208.0,not-sustained
76,1047902,33.0,10Z,,600.0,No Affidavit,Unsustained,0,524.0,17,833.0,W 115TH ST,CHICAGO IL 60643,2011-08-20 00:00:00,2011-08-22,2011-12-19,427.0,not-sustained
77,1048905,33.0,01B,NS,600.0,Not Sustained,Unsustained,0,123.0,17,1100.0,S STATE ST,CHICAGO IL 60605,2011-09-28 00:00:00,2011-09-29,2012-05-14,705.0,not-sustained
78,1055462,33.0,05B,UN,600.0,Unfounded,Unsustained,0,2234.0,17,1100.0,W 115TH ST,CHICAGO IL,2012-07-11 22:15:00,2012-07-11,2015-01-08,1149.0,not-sustained
79,1055564,33.0,04E,NS,600.0,Not Sustained,Unsustained,0,531.0,04,727.0,E 111TH ST,CHICAGO IL 60628,2012-07-12 00:10:00,2012-07-16,2012-09-20,1309.0,not-sustained
80,1064007,33.0,03G,,600.0,No Affidavit,Unsustained,0,524.0,17,11500.0,S HALSTED ST,CHICAGO IL 60628,2013-08-02 19:16:00,2013-08-03,2013-10-22,910.0,not-sustained
83,1058657,36.0,10Z,,,Unknown,Unknown,?,133.0,17,2710.0,S DEARBORN ST,CHICAGO IL,2012-10-18 16:00:00,2012-11-27,2013-01-22,1052.0,unknown
84,1044509,37.0,10D,,600.0,No Affidavit,Unsustained,0,411.0,17,7600.0,S SOUTH CHICAGO AVE,CHICAGO IL 60619,2011-04-04 19:35:00,2011-04-05,2011-06-01,1138.0,not-sustained
85,1049995,37.0,07B,SU,100.0,Sustained,Reprimand,0,421.0,17,2400.0,E 79TH ST,CHICAGO IL 60649,2011-11-03 00:00:00,2011-11-14,2014-01-15,1138.0,disciplined
86,1061159,37.0,10U,,600.0,No Affidavit,Unsustained,0,414.0,17,7900.0,S YATES BLVD,CHICAGO IL,2012-11-30 23:00:00,2013-04-03,2013-09-12,1138.0,not-sustained
87,1064951,37.0,10U,,600.0,No Affidavit,Unsustained,0,414.0,17,7800.0,S BENNETT AVE,CHICAGO IL 60649,2013-09-17 04:30:00,2013-09-17,2014-03-05,1138.0,not-sustained
90,1049523,40.0,05B,UN,600.0,Unfounded,Unsustained,0,531.0,04,727.0,E 111TH ST,CHICAGO IL 60628,2011-10-22 00:00:00,2011-10-24,2014-06-17,489.0,not-sustained
91,1068999,40.0,,,,Unknown,Unknown,?,424.0,17,3234.0,E 87TH ST,CHICAGO IL 60617,2014-05-06 20:45:00,2014-05-06,,753.0,open-investigation
92,1069593,40.0,03D,,600.0,No Affidavit,Unsustained,0,423.0,17,8700.0,S COLFAX AVE,CHICAGO IL,2014-05-16 16:00:00,2014-06-04,2014-08-25,1223.0,not-sustained
93,1052250,41.0,03B,,600.0,No Affidavit,Unsustained,0,724.0,17,6300.0,S CARPENTER ST,CHICAGO IL 60621,2012-02-25 22:30:00,2012-03-01,2012-04-12,1091.0,not-sustained
94,1058466,41.0,04E,,600.0,No Affidavit,Unsustained,0,831.0,17,2609.0,W LITHUANIAN PLAZA CT,CHICAGO IL 60629,2012-11-08 00:00:00,2012-11-16,2013-01-14,1091.0,not-sustained
95,1063305,41.0,10U,,600.0,No Affidavit,Unsustained,0,812.0,17,5946.0,S MAJOR AVE,CHICAGO IL,2013-07-05 02:00:00,2013-07-05,2013-09-05,1091.0,not-sustained
96,1065222,41.0,05P,,,Unknown,Unknown,?,824.0,17,5645.0,S ARTESIAN AVE,CHICAGO IL 60629,2013-09-29 14:09:00,2013-10-01,2014-10-28,899.0,unknown
97,1067287,41.0,,,,Unknown,Unknown,?,831.0,17,7259.0,S MOZART ST,CHICAGO IL 60629,2014-01-31 19:35:00,2014-01-31,,899.0,open-investigation
98,1067766,41.0,03B,,600.0,No Affidavit,Unsustained,0,832.0,17,6900.0,S BELL AVE,CHICAGO IL 60636,2014-03-03 15:45:00,2014-03-03,2014-12-24,55.0,not-sustained
100,1061408,42.0,09K,UN,600.0,Unfounded,Unsustained,0,531.0,04,727.0,E 111TH ST,CHICAGO IL 60628,2013-04-12 10:30:00,2013-04-16,2013-10-04,1284.0,not-sustained
101,1058329,43.0,07B,UN,600.0,Unfounded,Unsustained,0,334.0,17,7100.0,S SOUTH SHORE DR,CHICAGO IL,2012-11-06 23:30:00,2012-11-09,2013-03-29,927.0,not-sustained
103,1052586,44.0,03D,,600.0,No Affidavit,Unsustained,0,511.0,17,10118.0,S VERNON AVE,CHICAGO IL 60628,2012-03-15 00:50:00,2012-03-15,2012-07-17,904.0,not-sustained
106,1044292,46.0,10U,,,Unknown,Unknown,?,1831.0,03,340.0,N DEARBORN ST,CHICAGO IL 60654,2011-03-27 16:30:00,2011-03-27,2011-05-13,1231.0,unknown
107,1044299,46.0,10V,,600.0,No Affidavit,Unsustained,0,1833.0,17,835.0,N MICHIGAN AVE,CHICAGO IL 60611,2011-03-27 18:00:00,2011-03-27,2011-06-21,877.0,not-sustained
108,1051075,46.0,10U,,,Unknown,Unknown,?,1834.0,14,233.0,E SUPERIOR ST,CHICAGO IL,2012-01-03 21:00:00,2012-01-05,2012-03-02,702.0,unknown
109,1055413,46.0,10J,,600.0,No Affidavit,Unsustained,0,1834.0,17,255.0,E GRAND AVE,CHICAGO IL,2012-07-07 16:12:00,2012-07-10,2012-10-25,801.0,not-sustained
110,1067349,46.0,10U,,600.0,No Affidavit,Unsustained,0,1821.0,17,424.0,W GOETHE ST,CHICAGO IL,2014-01-31 18:20:00,2014-02-05,2014-03-12,1096.0,not-sustained
111,1058148,48.0,05H,SU,100.0,Sustained,Reprimand,0,1411.0,17,2719.0,N MAPLEWOOD AVE,CHICAGO IL 60647,2012-11-01 02:22:00,2012-11-01,2014-01-10,1156.0,disciplined
112,1061127,49.0,05A,NS,600.0,Not Sustained,Unsustained,0,1112.0,17,3900.0,W AUGUSTA BLVD,CHICAGO IL,2013-04-01 01:00:00,2013-04-02,2014-10-23,297.0,not-sustained
114,1067138,51.0,10U,,600.0,No Affidavit,Unsustained,0,421.0,17,7834.0,S MARQUETTE AVE,CHICAGO IL 60649,2014-01-22 01:00:00,2014-01-22,2014-04-03,949.0,not-sustained
115,1058822,52.0,10U,,600.0,No Affidavit,Unsustained,0,421.0,17,2836.0,E 78TH ST,CHICAGO IL 60649,2012-11-20 02:30:00,2012-12-05,2013-01-22,567.0,not-sustained
118,1072754,53.0,03G,,,Unknown,Unknown,?,813.0,17,4553.0,W 56TH ST,CHICAGO IL 60629,2014-12-01 19:04:00,2014-12-01,2015-02-05,260.0,unknown
119,1048978,54.0,05P,UN,600.0,Unfounded,Unsustained,0,921.0,17,3108.0,W 40TH ST,CHICAGO IL 60632,2011-10-02 00:00:00,2011-10-02,2014-03-24,899.0,not-sustained
120,1052769,54.0,04J,,600.0,No Affidavit,Unsustained,0,932.0,17,5232.0,S PAULINA ST,CHICAGO IL 60609,2012-03-20 00:45:00,2012-03-22,2012-05-21,417.0,not-sustained
121,1073145,54.0,,,,Unknown,Unknown,?,931.0,17,4701.0,S DAMEN AVE,CHICAGO IL,2014-12-29 10:15:00,2014-12-29,,719.0,open-investigation
126,1049853,61.0,10U,,600.0,No Affidavit,Unsustained,0,1324.0,17,1363.0,W ANCONA ST,CHICAGO IL,2011-07-11 22:00:00,2011-11-07,2012-01-30,653.0,not-sustained
127,1066494,63.0,10U,,600.0,No Affidavit,Unsustained,0,323.0,17,7459.0,S CHAMPLAIN AVE,CHICAGO IL 60619,2013-12-07 15:00:00,2013-12-07,2014-01-29,71.0,not-sustained
129,1049362,64.0,01B,NS,600.0,Not Sustained,Unsustained,0,823.0,17,3420.0,W 63RD ST,CHICAGO IL,2011-09-27 18:20:00,2011-10-17,2012-12-05,319.0,not-sustained
131,1045377,66.0,05A,UN,600.0,Unfounded,Unsustained,0,331.0,17,6541.0,S CORNELL DR,CHICAGO IL,2011-05-09 23:35:00,2011-05-12,2012-11-07,645.0,not-sustained
133,1069477,66.0,03G,,600.0,No Affidavit,Unsustained,0,332.0,17,7050.0,S STONY ISLAND AVE,CHICAGO IL,2014-05-17 02:30:00,2014-05-29,2014-09-29,1039.0,not-sustained
134,1051468,67.0,03D,,600.0,No Affidavit,Unsustained,0,213.0,08,3510.0,S MICHIGAN AVE,CHICAGO IL 60653,2012-01-25 00:00:00,2012-01-25,2012-04-02,1124.0,not-sustained
136,1047283,68.0,04E,,600.0,No Affidavit,Unsustained,0,1134.0,04,1011.0,S HOMAN AVE,CHICAGO IL 60624,2011-07-25 00:00:00,2011-07-27,2011-10-24,450.0,not-sustained
137,1053075,68.0,03G,,600.0,No Affidavit,Unsustained,0,1135.0,17,732.0,S WASHTENAW AVE,CHICAGO IL 60612,2012-04-03 22:30:00,2012-04-04,2012-05-21,479.0,not-sustained
138,1053154,68.0,05M,UN,600.0,Unfounded,Unsustained,0,1122.0,17,3900.0,W JACKSON BLVD,CHICAGO IL 60624,2012-04-07 00:00:00,2012-04-09,2014-01-27,300.0,not-sustained
140,1058330,68.0,05H,,,Unknown,Unknown,?,1132.0,17,3950.0,W FLOURNOY ST,CHICAGO IL,2012-11-09 22:28:00,2012-11-10,2014-02-13,297.0,unknown
142,1069337,68.0,10U,,600.0,No Affidavit,Unsustained,0,1132.0,17,4159.0,W JACKSON BLVD,CHICAGO IL 60624,2014-05-22 04:00:00,2014-05-22,2014-07-04,1331.0,not-sustained
143,1047039,69.0,03D,,600.0,No Affidavit,Unsustained,0,225.0,14,5501.0,S STATE ST,CHICAGO IL 60621,2011-07-17 00:00:00,2011-07-18,2012-05-16,118.0,not-sustained
144,1060886,69.0,03G,UN,600.0,Unfounded,Unsustained,0,624.0,17,7900.0,S COTTAGE GROVE AVE,CHICAGO IL,2013-03-21 19:30:00,2013-03-21,2013-07-30,1080.0,not-sustained
145,1064206,69.0,03B,,,Unknown,Unknown,?,232.0,17,5800.0,S PRAIRIE AVE,CHICAGO IL 60637,2013-08-12 19:30:00,2013-08-12,2013-10-23,1358.0,unknown
146,1069945,69.0,03G,,,Unknown,Unknown,?,624.0,17,7900.0,S ELLIS AVE,CHICAGO IL 60619,2014-06-22 22:40:00,2014-06-22,2014-07-15,987.0,unknown
147,1054983,70.0,09C,NS,600.0,Not Sustained,Unsustained,0,1611.0,17,7025.0,N OSCEOLA AVE,CHICAGO IL,2012-06-22 00:00:00,2012-06-22,2013-03-08,316.0,not-sustained
148,1047313,71.0,04E,NS,600.0,Not Sustained,Unsustained,0,913.0,17,3500.0,S CALIFORNIA AVE,CHICAGO IL,2011-07-20 10:25:00,2011-07-29,2011-10-20,257.0,not-sustained
149,1055998,72.0,10U,NS,600.0,Not Sustained,Unsustained,0,321.0,04,7040.0,S COTTAGE GROVE AVE,CHICAGO IL,2012-08-01 17:50:00,2012-08-01,2013-10-17,1132.0,not-sustained
150,1066301,72.0,03D,,600.0,No Affidavit,Unsustained,0,321.0,17,1406.0,E 67TH ST,CHICAGO IL 60637,2013-11-25 16:00:00,2013-11-26,2014-01-14,1452.0,not-sustained
151,1053179,74.0,01B,UN,600.0,Unfounded,Unsustained,0,1834.0,17,300.0,E OHIO ST,CHICAGO IL 60611,2012-04-09 00:00:00,2012-04-09,2014-05-19,981.0,not-sustained
152,1060481,75.0,09C,NS,600.0,Not Sustained,Unsustained,0,1831.0,17,342.0,W GRAND AVE,CHICAGO IL,2013-03-01 13:56:00,2013-03-01,2013-08-08,1296.0,not-sustained
153,1071520,77.0,,,,Unknown,Unknown,?,225.0,04,5101.0,S WENTWORTH AVE,CHICAGO IL,2014-09-13 13:00:00,2014-09-13,,1496.0,open-investigation
155,1057737,78.0,10U,NS,600.0,Not Sustained,Unsustained,0,624.0,17,7500.0,S EBERHART AVE,CHICAGO IL 60619,2012-10-05 00:00:00,2012-10-12,2013-01-31,1024.0,not-sustained
156,1064510,78.0,05A,,600.0,No Affidavit,Unsustained,0,624.0,17,7900.0,S ELLIS AVE,CHICAGO IL 60619,2013-08-17 17:35:00,2013-08-26,2013-11-05,1260.0,not-sustained
157,1066696,78.0,,,,Unknown,Unknown,?,621.0,04,7808.0,S HALSTED ST,CHICAGO IL 60620,2013-12-20 05:42:00,2013-12-20,,1123.0,open-investigation
158,1068108,78.0,05A,EX,600.0,Exonerated,Unsustained,0,624.0,17,7813.0,S EBERHART AVE,CHICAGO IL,2013-10-22 01:09:00,2014-03-20,2014-08-19,1216.0,not-sustained
160,1050057,81.0,03C,NS,600.0,Exonerated,Unsustained,0,612.0,17,7600.0,S MORGAN ST,CHICAGO IL 60620,2011-11-06 00:00:00,2011-11-16,2012-03-23,1467.0,not-sustained
161,1069474,82.0,10U,,600.0,No Affidavit,Unsustained,0,411.0,17,8110.0,S WOODLAWN AVE,CHICAGO IL,2014-05-29 19:00:00,2014-05-29,2014-07-22,1223.0,not-sustained
163,1046619,83.0,10L,UN,600.0,Unfounded,Unsustained,0,1232.0,17,1260.0,S UNION AVE,CHICAGO IL,2011-06-14 01:15:00,2011-07-01,2012-03-22,940.0,not-sustained
164,1065350,84.0,10U,,600.0,No Affidavit,Unsustained,0,915.0,17,3858.0,S WENTWORTH AVE,CHICAGO IL,2013-10-04 18:00:00,2013-10-04,2013-11-05,1411.0,not-sustained
165,1067904,84.0,10U,,600.0,No Affidavit,Unsustained,0,923.0,17,4950.0,S ROCKWELL ST,CHICAGO IL 60632,2014-03-10 18:15:00,2014-03-10,2014-06-10,1019.0,not-sustained
166,1070057,84.0,10U,,600.0,No Affidavit,Unsustained,0,911.0,17,2441.0,W 35TH ST,CHICAGO IL,2014-06-28 17:00:00,2014-06-29,2014-11-17,404.0,not-sustained
167,1072667,85.0,04E,,600.0,No Affidavit,Unsustained,0,434.0,05,2255.0,E 103RD ST,CHICAGO IL 60617,2014-11-07 07:00:00,2014-11-24,2014-12-31,1223.0,not-sustained
168,1055789,86.0,10U,,600.0,No Affidavit,Unsustained,0,1033.0,17,2500.0,S ALBANY AVE,CHICAGO IL,2012-07-22 03:20:00,2012-07-24,2014-03-06,1456.0,not-sustained
169,1056452,86.0,05B,NS,600.0,Not Sustained,Unsustained,0,1022.0,17,3112.0,W DOUGLAS BLVD,CHICAGO IL,2012-08-11 02:00:00,2012-08-20,2013-12-30,657.0,not-sustained
172,1055339,87.0,05L,NS,600.0,Not Sustained,Unsustained,0,1832.0,17,800.0,N STATE ST,CHICAGO IL 60654,2012-06-28 19:50:00,2012-07-07,2013-04-19,1156.0,not-sustained
173,1060942,88.0,04E,,600.0,No Affidavit,Unsustained,0,1024.0,17,3315.0,W OGDEN AVE,CHICAGO IL 60623,2013-03-19 00:00:00,2013-03-24,2013-05-02,1309.0,not-sustained
174,1047165,89.0,,,,Unknown,Unknown,?,823.0,17,3420.0,W 63RD ST,CHICAGO IL 60629,2011-07-21 23:00:00,2011-07-22,,415.0,open-investigation
176,1049247,89.0,10Z,EX,600.0,Exonerated,Unsustained,0,834.0,17,7900.0,S KOSTNER AVE,CHICAGO IL,2011-10-10 22:24:00,2011-10-12,2012-05-10,1091.0,not-sustained
177,1055629,89.0,10U,,600.0,No Affidavit,Unsustained,0,822.0,17,5200.0,S KEDZIE AVE,CHICAGO IL 60632,2012-07-17 18:12:00,2012-07-17,2012-10-12,444.0,not-sustained
178,1046249,90.0,05A,UN,600.0,Unfounded,Unsustained,0,923.0,17,5128.0,S RICHMOND ST,CHICAGO IL,2011-06-17 22:30:00,2011-06-18,2012-10-19,1481.0,not-sustained
179,1047513,90.0,05A,NS,600.0,Not Sustained,Unsustained,0,932.0,17,5100.0,S DAMEN AVE,CHICAGO IL,2011-08-05 19:45:00,2011-08-06,2014-03-18,899.0,not-sustained
180,1049454,90.0,05A,NS,600.0,Not Sustained,Unsustained,0,822.0,17,5550.0,S KEDZIE AVE,CHICAGO IL 60629,2011-10-17 23:00:00,2011-10-20,2012-04-27,448.0,not-sustained
182,1051976,90.0,04E,NS,600.0,Not Sustained,Unsustained,0,324.0,17,7207.0,S SOUTH CHICAGO AVE,CHICAGO IL 60619,2012-02-18 00:00:00,2012-02-18,2012-05-24,990.0,not-sustained
183,1062217,90.0,05Q,,600.0,No Affidavit,Unsustained,0,933.0,17,1206.0,W 51ST ST,CHICAGO IL 60609,2012-01-24 00:00:00,2013-05-15,2013-07-31,645.0,not-sustained
184,1066530,90.0,03D,EX,600.0,Exonerated,Unsustained,0,935.0,17,5216.0,S WELLS ST,CHICAGO IL,2012-01-05 01:12:00,2013-12-10,2015-02-10,578.0,not-sustained
185,1053415,90.0,01B,NS,600.0,Not Sustained,Unsustained,0,911.0,17,3505.0,S WESTERN AVE,CHICAGO IL 60632,2012-04-17 23:41:00,2012-04-18,2014-01-23,1440.0,not-sustained
