,crid,officer_id,cat_id,recc_finding,recc_outcome,finding_edit,outcome_edit,value,beat,location,add1,add2,city,incident_date,start_date,end_date,investigator_id,final_outcome_class
19188,1044175,0.0,,,,Unknown,Unknown,?,1134.0,04,3151.0,W HARRISON ST,CHICAGO IL 60612,2011-03-19 00:00:00,2011-03-23,2015-01-13,1279.0,unknown
19189,1044178,0.0,,,,Unknown,Unknown,?,1923.0,03,3620.0,N CLARK ST,CHICAGO IL 60613,2011-03-13 02:00:00,2011-03-23,2011-06-29,552.0,unknown
19190,1044196,0.0,,,,Unknown,Unknown,?,1011.0,17,1400.0,S LAWNDALE AVE,CHICAGO IL 60623,2011-03-23 20:16:00,2011-03-23,2011-06-13,15.0,unknown
19191,1044200,0.0,,,,Unknown,Unknown,?,1732.0,17,3600.0,N KIMBALL AVE,CHICAGO IL,2011-03-18 20:30:00,2011-03-24,2011-06-06,408.0,unknown
19192,1044208,0.0,,,,Unknown,Unknown,?,1211.0,17,2334.0,W VAN BUREN ST,CHICAGO IL,2011-03-22 17:00:00,2011-03-24,2011-04-29,690.0,unknown
19193,1044211,0.0,,,,Unknown,Unknown,?,413.0,14,2006.0,E 95TH ST,CHICAGO IL,2011-03-23 09:45:00,2011-03-24,2011-10-03,104.0,unknown
19194,1044214,0.0,,,,Unknown,Unknown,?,1422.0,17,1700.0,N SPAULDING AVE,CHICAGO IL,2011-03-23 12:30:00,2011-03-24,2011-06-06,408.0,unknown
19198,1044227,0.0,,,,Unknown,Unknown,?,624.0,17,725.0,E 75TH ST,CHICAGO IL,2011-03-24 00:00:00,2011-03-24,2011-06-06,594.0,unknown
19199,1044229,0.0,,,,Unknown,Unknown,?,1932.0,17,3100.0,N RACINE AVE,CHICAGO IL 60657,2011-03-24 00:00:00,2011-03-24,2011-03-28,702.0,unknown
19200,1044230,0.0,,,,Unknown,Unknown,?,934.0,17,922.0,W 53RD ST,CHICAGO IL 60609,2011-03-15 00:00:00,2011-03-24,2011-06-23,563.0,unknown
19201,1044244,0.0,,,,Unknown,Unknown,?,712.0,17,1010.0,W 59TH ST,CHICAGO IL 60621,2011-03-24 00:00:00,2011-03-25,2011-10-03,1273.0,unknown
19205,1044260,0.0,,,,Unknown,Unknown,?,2212.0,17,11836.0,S CAMPBELL AVE,CHICAGO IL 60655,2011-03-25 22:22:00,2011-03-25,2011-06-01,231.0,unknown
19206,1044264,0.0,,,,Unknown,Unknown,?,132.0,04,1718.0,S STATE ST,CHICAGO IL 60616,2011-03-28 00:00:00,2011-03-28,2011-05-13,1408.0,unknown
19207,1044270,0.0,,,,Unknown,Unknown,?,1913.0,05,2452.0,W BELMONT AVE,CHICAGO IL 60618,2011-03-26 00:00:00,2011-03-26,2011-07-26,302.0,unknown
19208,1044277,0.0,,,,Unknown,Unknown,?,2132.0,03,1457.0,E 53RD ST,CHICAGO IL 60615,2011-03-26 00:00:00,2011-03-26,2011-07-29,378.0,unknown
