Unnamed: 0,Unnamed: 0
crid,crid
officer_id,officer_id
dateobj,dateobj
no_affidavit,no_affidavit
weekend,weekend
police_investigator,police_investigator
centrality_score,centrality_score
Investigators 1.0,Investigators 1.0
Investigators 3.0,Investigators 3.0
Investigators 4.0,Investigators 4.0
Investigators 5.0,Investigators 5.0
Investigators 6.0,Investigators 6.0
Investigators 7.0,Investigators 7.0
Investigators 8.0,Investigators 8.0
Investigators 9.0,Investigators 9.0
Investigators 10.0,Investigators 10.0
Investigators 11.0,Investigators 11.0
Investigators 12.0,Investigators 12.0
Investigators 14.0,Investigators 14.0
Investigators 15.0,Investigators 15.0
Investigators 17.0,Investigators 17.0
Investigators 18.0,Investigators 18.0
Investigators 19.0,Investigators 19.0
Investigators 21.0,Investigators 21.0
Investigators 22.0,Investigators 22.0
Investigators 23.0,Investigators 23.0
Investigators 24.0,Investigators 24.0
Investigators 25.0,Investigators 25.0
Investigators 26.0,Investigators 26.0
Investigators 28.0,Investigators 28.0
Investigators 29.0,Investigators 29.0
Investigators 30.0,Investigators 30.0
Investigators 31.0,Investigators 31.0
Investigators 32.0,Investigators 32.0
Investigators 33.0,Investigators 33.0
Investigators 35.0,Investigators 35.0
Investigators 36.0,Investigators 36.0
Investigators 37.0,Investigators 37.0
Investigators 38.0,Investigators 38.0
Investigators 39.0,Investigators 39.0
Investigators 41.0,Investigators 41.0
Investigators 42.0,Investigators 42.0
Investigators 44.0,Investigators 44.0
Investigators 45.0,Investigators 45.0
Investigators 46.0,Investigators 46.0
Investigators 47.0,Investigators 47.0
Investigators 48.0,Investigators 48.0
Investigators 49.0,Investigators 49.0
Investigators 50.0,Investigators 50.0
Investigators 51.0,Investigators 51.0
Investigators 52.0,Investigators 52.0
Investigators 53.0,Investigators 53.0
Investigators 54.0,Investigators 54.0
Investigators 55.0,Investigators 55.0
Investigators 56.0,Investigators 56.0
Investigators 57.0,Investigators 57.0
Investigators 58.0,Investigators 58.0
Investigators 61.0,Investigators 61.0
Investigators 62.0,Investigators 62.0
Investigators 63.0,Investigators 63.0
Investigators 64.0,Investigators 64.0
Investigators 65.0,Investigators 65.0
Investigators 67.0,Investigators 67.0
Investigators 68.0,Investigators 68.0
Investigators 69.0,Investigators 69.0
Investigators 70.0,Investigators 70.0
Investigators 71.0,Investigators 71.0
Investigators 72.0,Investigators 72.0
Investigators 73.0,Investigators 73.0
Investigators 74.0,Investigators 74.0
Investigators 75.0,Investigators 75.0
Investigators 76.0,Investigators 76.0
Investigators 77.0,Investigators 77.0
Investigators 78.0,Investigators 78.0
Investigators 79.0,Investigators 79.0
Investigators 80.0,Investigators 80.0
Investigators 81.0,Investigators 81.0
Investigators 82.0,Investigators 82.0
Investigators 83.0,Investigators 83.0
Investigators 84.0,Investigators 84.0
Investigators 85.0,Investigators 85.0
Investigators 86.0,Investigators 86.0
Investigators 87.0,Investigators 87.0
Investigators 88.0,Investigators 88.0
Investigators 89.0,Investigators 89.0
Investigators 90.0,Investigators 90.0
Investigators 91.0,Investigators 91.0
Investigators 92.0,Investigators 92.0
Investigators 93.0,Investigators 93.0
Investigators 94.0,Investigators 94.0
Investigators 95.0,Investigators 95.0
Investigators 96.0,Investigators 96.0
Investigators 97.0,Investigators 97.0
Investigators 98.0,Investigators 98.0
Investigators 99.0,Investigators 99.0
Investigators 100.0,Investigators 100.0
Investigators 101.0,Investigators 101.0
Investigators 102.0,Investigators 102.0
Investigators 103.0,Investigators 103.0
Investigators 104.0,Investigators 104.0
Investigators 105.0,Investigators 105.0
Investigators 106.0,Investigators 106.0
Investigators 107.0,Investigators 107.0
Investigators 108.0,Investigators 108.0
Investigators 109.0,Investigators 109.0
Investigators 110.0,Investigators 110.0
Investigators 111.0,Investigators 111.0
Investigators 112.0,Investigators 112.0
Investigators 113.0,Investigators 113.0
Investigators 115.0,Investigators 115.0
Investigators 116.0,Investigators 116.0
Investigators 117.0,Investigators 117.0
Investigators 118.0,Investigators 118.0
Investigators 119.0,Investigators 119.0
Investigators 120.0,Investigators 120.0
Investigators 121.0,Investigators 121.0
Investigators 122.0,Investigators 122.0
Investigators 123.0,Investigators 123.0
Investigators 124.0,Investigators 124.0
Investigators 125.0,Investigators 125.0
Investigators 126.0,Investigators 126.0
Investigators 127.0,Investigators 127.0
Investigators 128.0,Investigators 128.0
Investigators 129.0,Investigators 129.0
Investigators 130.0,Investigators 130.0
Investigators 131.0,Investigators 131.0
Investigators 132.0,Investigators 132.0
Investigators 133.0,Investigators 133.0
Investigators 134.0,Investigators 134.0
Investigators 135.0,Investigators 135.0
Investigators 136.0,Investigators 136.0
Investigators 137.0,Investigators 137.0
Investigators 138.0,Investigators 138.0
Investigators 139.0,Investigators 139.0
Investigators 140.0,Investigators 140.0
Investigators 141.0,Investigators 141.0
Investigators 142.0,Investigators 142.0
Investigators 143.0,Investigators 143.0
Investigators 144.0,Investigators 144.0
Investigators 145.0,Investigators 145.0
Investigators 146.0,Investigators 146.0
Investigators 147.0,Investigators 147.0
Investigators 148.0,Investigators 148.0
Investigators 149.0,Investigators 149.0
Investigators 150.0,Investigators 150.0
Investigators 151.0,Investigators 151.0
Investigators 152.0,Investigators 152.0
Investigators 153.0,Investigators 153.0
Investigators 155.0,Investigators 155.0
Investigators 156.0,Investigators 156.0
Investigators 157.0,Investigators 157.0
Investigators 158.0,Investigators 158.0
Investigators 159.0,Investigators 159.0
Investigators 160.0,Investigators 160.0
Investigators 161.0,Investigators 161.0
Investigators 162.0,Investigators 162.0
Investigators 163.0,Investigators 163.0
Investigators 164.0,Investigators 164.0
Investigators 166.0,Investigators 166.0
Investigators 167.0,Investigators 167.0
Investigators 168.0,Investigators 168.0
Investigators 169.0,Investigators 169.0
Investigators 171.0,Investigators 171.0
Investigators 172.0,Investigators 172.0
Investigators 173.0,Investigators 173.0
Investigators 174.0,Investigators 174.0
Investigators 175.0,Investigators 175.0
Investigators 176.0,Investigators 176.0
Investigators 177.0,Investigators 177.0
Investigators 178.0,Investigators 178.0
Investigators 179.0,Investigators 179.0
Investigators 180.0,Investigators 180.0
Investigators 181.0,Investigators 181.0
Investigators 182.0,Investigators 182.0
Investigators 183.0,Investigators 183.0
Investigators 185.0,Investigators 185.0
Investigators 186.0,Investigators 186.0
Investigators 187.0,Investigators 187.0
Investigators 188.0,Investigators 188.0
Investigators 189.0,Investigators 189.0
Investigators 190.0,Investigators 190.0
Investigators 191.0,Investigators 191.0
Investigators 192.0,Investigators 192.0
Investigators 193.0,Investigators 193.0
Investigators 194.0,Investigators 194.0
Investigators 195.0,Investigators 195.0
Investigators 196.0,Investigators 196.0
Investigators 197.0,Investigators 197.0
Investigators 198.0,Investigators 198.0
Investigators 199.0,Investigators 199.0
Investigators 200.0,Investigators 200.0
Investigators 202.0,Investigators 202.0
Investigators 205.0,Investigators 205.0
Investigators 206.0,Investigators 206.0
Investigators 207.0,Investigators 207.0
Investigators 208.0,Investigators 208.0
Investigators 209.0,Investigators 209.0
Investigators 210.0,Investigators 210.0
Investigators 211.0,Investigators 211.0
Investigators 212.0,Investigators 212.0
Investigators 213.0,Investigators 213.0
Investigators 214.0,Investigators 214.0
Investigators 215.0,Investigators 215.0
Investigators 216.0,Investigators 216.0
Investigators 217.0,Investigators 217.0
Investigators 218.0,Investigators 218.0
Investigators 219.0,Investigators 219.0
Investigators 220.0,Investigators 220.0
Investigators 221.0,Investigators 221.0
Investigators 222.0,Investigators 222.0
Investigators 223.0,Investigators 223.0
Investigators 224.0,Investigators 224.0
Investigators 227.0,Investigators 227.0
Investigators 228.0,Investigators 228.0
Investigators 229.0,Investigators 229.0
