centroid,beat_num,district,distance_value,distance,start_address,start_lat,start_lng,end_address,end_lat,end_lng,time,time_text,date
"(41.9482421431, -87.7961806668)",1923,19,14430,9.0 mi,"3732 N Oak Park Ave, Chicago, IL 60634, USA",41.9482442,-87.7960958,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,3468,58 mins,02/25/2016
"(41.9472767718, -87.6439633682)",1724,17,15547,9.7 mi,"525 W Brompton Ave, Chicago, IL 60657, USA",41.9473354,-87.64399949999999,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,2457,41 mins,02/25/2016
"(41.9472767718, -87.6439633682)",1724,17,8009,5.0 mi,"525 W Brompton Ave, Chicago, IL 60657, USA",41.9473354,-87.64399949999999,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,2097,35 mins,02/25/2016
"(41.9508242803, -87.6568681312)",2024,20,15922,9.9 mi,"3776-3790 N Seminary Ave, Chicago, IL 60613, USA",41.9508242,-87.65683969999999,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,2311,39 mins,02/25/2016
"(41.9508242803, -87.6568681312)",2024,20,8414,5.2 mi,"3776-3790 N Seminary Ave, Chicago, IL 60613, USA",41.9508242,-87.65683969999999,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,2197,37 mins,02/25/2016
"(41.9469600294, -87.6712847862)",1624,16,16019,10.0 mi,"1701 W Addison St, Chicago, IL 60613, USA",41.9469492,-87.671296,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,2730,46 mins,02/25/2016
"(41.9469600294, -87.6712847862)",1624,16,5972,3.7 mi,"1701 W Addison St, Chicago, IL 60613, USA",41.9469492,-87.671296,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,1285,21 mins,02/25/2016
"(41.9468826233, -87.6870893918)",1655,16,17522,10.9 mi,"3600 N Claremont Ave, Chicago, IL 60618, USA",41.9468843,-87.6870359,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,2663,44 mins,02/25/2016
"(41.9468826233, -87.6870893918)",1655,16,7283,4.5 mi,"3600 N Claremont Ave, Chicago, IL 60618, USA",41.9468843,-87.6870359,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,1721,29 mins,02/25/2016
"(41.9465256147, -87.704109387)",1632,16,18937,11.8 mi,"3577-3599 N Whipple St, Chicago, IL 60618, USA",41.94652560000001,-87.7041352,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,3020,50 mins,02/25/2016
"(41.9465256147, -87.704109387)",1632,16,8698,5.4 mi,"3577-3599 N Whipple St, Chicago, IL 60618, USA",41.94652560000001,-87.7041352,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,2078,35 mins,02/25/2016
"(41.9468354942, -87.7209754738)",1925,19,17888,11.1 mi,"3720 W Addison St, Chicago, IL 60618, USA",41.9469076,-87.720976,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,2603,43 mins,02/25/2016
"(41.9468354942, -87.7209754738)",1925,19,8127,5.0 mi,"3720 W Addison St, Chicago, IL 60618, USA",41.9469076,-87.720976,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,1678,28 mins,02/25/2016
"(41.945900675, -87.7379862475)",1922,19,21722,13.5 mi,"4400-4410 W Addison St, Chicago, IL 60641, USA",41.94623869999999,-87.7379883,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,4100,1 hour 8 mins,02/25/2016
"(41.945900675, -87.7379862475)",1922,19,11483,7.1 mi,"4400-4410 W Addison St, Chicago, IL 60641, USA",41.94623869999999,-87.7379883,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,3071,51 mins,02/25/2016
"(41.9460319422, -87.7544610902)",1732,17,23083,14.3 mi,"5061 W Addison St, Chicago, IL 60641, USA",41.9459953,-87.7544174,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,4355,1 hour 13 mins,02/25/2016
"(41.9460319422, -87.7544610902)",1732,17,12845,8.0 mi,"5061 W Addison St, Chicago, IL 60641, USA",41.9459953,-87.7544174,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,3326,55 mins,02/25/2016
"(41.9457792796, -87.7740692649)",1921,19,22008,13.7 mi,"5903 W Addison St, Chicago, IL 60634, USA",41.9457397,-87.7741776,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.8310051,-87.62706659999999,4003,1 hour 7 mins,02/25/2016
"(41.9457792796, -87.7740692649)",1921,19,12408,7.7 mi,"5903 W Addison St, Chicago, IL 60634, USA",41.9457397,-87.7741776,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,2817,47 mins,02/25/2016
"(41.945173502, -87.8304374087)",1653,16,26752,16.6 mi,"8135 W Addison St, Chicago, IL 60634, USA",41.9448738,-87.8304062,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,4607,1 hour 17 mins,02/25/2016
"(41.945173502, -87.8304374087)",1653,16,17073,10.6 mi,"8135 W Addison St, Chicago, IL 60634, USA",41.9448738,-87.8304062,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,3536,59 mins,02/25/2016
"(41.9435341389, -87.6566401811)",1733,17,14475,9.0 mi,"3359 N Seminary Ave, Chicago, IL 60657, USA",41.9435311,-87.6566454,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,2195,37 mins,02/25/2016
"(41.9435341389, -87.6566401811)",1733,17,6419,4.0 mi,"3359 N Seminary Ave, Chicago, IL 60657, USA",41.9435311,-87.6566454,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,1999,33 mins,02/25/2016
"(41.9363673482, -87.6405971935)",1652,16,12924,8.0 mi,"429-433 W Wellington Ave, Chicago, IL 60657, USA",41.9365698,-87.640605,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,2524,42 mins,02/25/2016
"(41.9363673482, -87.6405971935)",1652,16,8010,5.0 mi,"429-433 W Wellington Ave, Chicago, IL 60657, USA",41.9365698,-87.640605,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,2381,40 mins,02/25/2016
"(41.9366377229, -87.6567109917)",1731,17,14399,8.9 mi,"3014 N Seminary Ave, Chicago, IL 60657, USA",41.9366946,-87.6567121,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,2135,36 mins,02/25/2016
"(41.9366377229, -87.6567109917)",1731,17,8552,5.3 mi,"3014 N Seminary Ave, Chicago, IL 60657, USA",41.9366946,-87.6567121,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,2224,37 mins,02/25/2016
"(42.0194326261, -87.6697413709)",1634,16,23435,14.6 mi,"1546-1598 Howard St, Chicago, IL 60626, USA",42.0193532,-87.6697416,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,3200,53 mins,02/25/2016
"(42.0194326261, -87.6697413709)",1634,16,17558,10.9 mi,"1546-1598 Howard St, Chicago, IL 60626, USA",42.0193532,-87.6697416,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,2780,46 mins,02/25/2016
"(42.0119020129, -87.6959392855)",1633,16,25529,15.9 mi,"2624 W Fitch Ave, Chicago, IL 60645, USA",42.01169429999999,-87.6959322,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,3926,1 hour 5 mins,02/25/2016
"(42.0119020129, -87.6959392855)",1633,16,14692,9.1 mi,"2624 W Fitch Ave, Chicago, IL 60645, USA",42.01169429999999,-87.6959322,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,2971,50 mins,02/25/2016
"(42.0126074249, -87.6788237652)",1924,19,24161,15.0 mi,"1916 W Touhy Ave, Chicago, IL 60626, USA",42.0125458,-87.6788217,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,3746,1 hour 2 mins,02/25/2016
"(42.0126074249, -87.6788237652)",1924,19,13353,8.3 mi,"1916 W Touhy Ave, Chicago, IL 60626, USA",42.0125458,-87.6788217,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,1983,33 mins,02/25/2016
"(42.0016850229, -87.7997549587)",1631,16,27706,17.2 mi,"7063 N Newark Ave, Niles, IL 60714, USA",42.0016855,-87.7998294,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,4474,1 hour 15 mins,02/25/2016
"(42.0016850229, -87.7997549587)",1631,16,18026,11.2 mi,"7063 N Newark Ave, Niles, IL 60714, USA",42.0016855,-87.7998294,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,3403,57 mins,02/25/2016
"(42.0124430214, -87.6677122678)",1934,19,23234,14.4 mi,"7149-7199 N Greenview Ave, Chicago, IL 60626, USA",42.0124394,-87.6680083,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,3270,55 mins,02/25/2016
"(42.0124430214, -87.6677122678)",1934,19,13698,8.5 mi,"7149-7199 N Greenview Ave, Chicago, IL 60626, USA",42.0124394,-87.6680083,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,2238,37 mins,02/25/2016
"(41.9952695485, -87.7649838015)",1933,19,24945,15.5 mi,"6330-6340 N Lehigh Ave, Chicago, IL 60646, USA",41.9953461,-87.76472340000001,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,3523,59 mins,02/25/2016
"(41.9952695485, -87.7649838015)",1933,19,16941,10.5 mi,"6330-6340 N Lehigh Ave, Chicago, IL 60646, USA",41.9953461,-87.76472340000001,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,2216,37 mins,02/25/2016
"(42.0072878159, -87.6652039291)",2422,24,22022,13.7 mi,"6917-6919 N Wayne Ave, Chicago, IL 60626, USA",42.0072912,-87.6650409,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,2912,49 mins,02/25/2016
"(42.0072878159, -87.6652039291)",2422,24,13850,8.6 mi,"6917-6919 N Wayne Ave, Chicago, IL 60626, USA",42.0072912,-87.6650409,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,2380,40 mins,02/25/2016
"(41.9792219971, -87.9099188719)",2424,24,34996,21.7 mi,"29-99 Upper Level T1 St, Chicago, IL 60666, USA",41.97898989999999,-87.90616469999999,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.8310051,-87.62706659999999,4023,1 hour 7 mins,02/25/2016
