centroid,beat_num,district,distance_value,distance,start_address,start_lat,start_lng,end_address,end_lat,end_lng,time,time_text,date
"(41.9482421431, -87.7961806668)",1923,19,15534,9.7 mi,"3732 N Oak Park Ave, Chicago, IL 60634, USA",41.9482442,-87.7960958,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,1561,26 mins,02/25/2016
"(41.9472767718, -87.6439633682)",1724,17,16050,10.0 mi,"525 W Brompton Ave, Chicago, IL 60657, USA",41.9473354,-87.64399949999999,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,1243,21 mins,02/25/2016
"(41.9472767718, -87.6439633682)",1724,17,7878,4.9 mi,"525 W Brompton Ave, Chicago, IL 60657, USA",41.9473354,-87.64399949999999,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,1312,22 mins,02/25/2016
"(41.9508242803, -87.6568681312)",2024,20,17932,11.1 mi,"3776-3790 N Seminary Ave, Chicago, IL 60613, USA",41.9508242,-87.65683969999999,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,1366,23 mins,02/25/2016
"(41.9508242803, -87.6568681312)",2024,20,7215,4.5 mi,"3776-3790 N Seminary Ave, Chicago, IL 60613, USA",41.9508242,-87.65683969999999,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,1196,20 mins,02/25/2016
"(41.9469600294, -87.6712847862)",1624,16,15784,9.8 mi,"1701 W Addison St, Chicago, IL 60613, USA",41.9469492,-87.671296,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,1371,23 mins,02/25/2016
"(41.9469600294, -87.6712847862)",1624,16,5921,3.7 mi,"1701 W Addison St, Chicago, IL 60613, USA",41.9469492,-87.671296,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,961,16 mins,02/25/2016
"(41.9468826233, -87.6870893918)",1655,16,16486,10.2 mi,"3600 N Claremont Ave, Chicago, IL 60618, USA",41.9468843,-87.6870359,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,1209,20 mins,02/25/2016
"(41.9468826233, -87.6870893918)",1655,16,8297,5.2 mi,"3600 N Claremont Ave, Chicago, IL 60618, USA",41.9468843,-87.6870359,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,844,14 mins,02/25/2016
"(41.9465256147, -87.704109387)",1632,16,15953,9.9 mi,"3577-3599 N Whipple St, Chicago, IL 60618, USA",41.94652560000001,-87.7041352,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,1106,18 mins,02/25/2016
"(41.9465256147, -87.704109387)",1632,16,7764,4.8 mi,"3577-3599 N Whipple St, Chicago, IL 60618, USA",41.94652560000001,-87.7041352,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,742,12 mins,02/25/2016
"(41.9468354942, -87.7209754738)",1925,19,16701,10.4 mi,"3720 W Addison St, Chicago, IL 60618, USA",41.9469076,-87.720976,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,1061,18 mins,02/25/2016
"(41.9468354942, -87.7209754738)",1925,19,8512,5.3 mi,"3720 W Addison St, Chicago, IL 60618, USA",41.9469076,-87.720976,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,696,12 mins,02/25/2016
"(41.945900675, -87.7379862475)",1922,19,18091,11.2 mi,"4400-4410 W Addison St, Chicago, IL 60641, USA",41.94623869999999,-87.7379883,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,1248,21 mins,02/25/2016
"(41.945900675, -87.7379862475)",1922,19,9902,6.2 mi,"4400-4410 W Addison St, Chicago, IL 60641, USA",41.94623869999999,-87.7379883,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,883,15 mins,02/25/2016
"(41.9460319422, -87.7544610902)",1732,17,19455,12.1 mi,"3600 N Leclaire Ave, Chicago, IL 60641, USA",41.9460263,-87.75447559999999,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,1461,24 mins,02/25/2016
"(41.9460319422, -87.7544610902)",1732,17,11266,7.0 mi,"3600 N Leclaire Ave, Chicago, IL 60641, USA",41.9460263,-87.75447559999999,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,1096,18 mins,02/25/2016
"(41.9457792796, -87.7740692649)",1921,19,21078,13.1 mi,"3563-3599 N Marmora Ave, Chicago, IL 60634, USA",41.9457792,-87.7740627,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,1686,28 mins,02/25/2016
"(41.9457792796, -87.7740692649)",1921,19,12889,8.0 mi,"3563-3599 N Marmora Ave, Chicago, IL 60634, USA",41.9457792,-87.7740627,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,1321,22 mins,02/25/2016
"(41.945173502, -87.8304374087)",1653,16,32412,20.1 mi,"3601-3625 N Paris Ave, Chicago, IL 60634, USA",41.9451779,-87.83029739999999,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,2042,34 mins,02/25/2016
"(41.945173502, -87.8304374087)",1653,16,24223,15.1 mi,"3601-3625 N Paris Ave, Chicago, IL 60634, USA",41.9451779,-87.83029739999999,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,1677,28 mins,02/25/2016
"(41.9435341389, -87.6566401811)",1733,17,16184,10.1 mi,"3359 N Seminary Ave, Chicago, IL 60657, USA",41.9435311,-87.6566454,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,1460,24 mins,02/25/2016
"(41.9435341389, -87.6566401811)",1733,17,6320,3.9 mi,"3359 N Seminary Ave, Chicago, IL 60657, USA",41.9435311,-87.6566454,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,1049,17 mins,02/25/2016
"(41.9363673482, -87.6405971935)",1652,16,15426,9.6 mi,"429-433 W Wellington Ave, Chicago, IL 60657, USA",41.9365698,-87.640605,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,1122,19 mins,02/25/2016
"(41.9363673482, -87.6405971935)",1652,16,9152,5.7 mi,"429-433 W Wellington Ave, Chicago, IL 60657, USA",41.9365698,-87.640605,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,1176,20 mins,02/25/2016
"(41.9366377229, -87.6567109917)",1731,17,15411,9.6 mi,"3014 N Seminary Ave, Chicago, IL 60657, USA",41.9366946,-87.6567121,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,1367,23 mins,02/25/2016
"(41.9366377229, -87.6567109917)",1731,17,5548,3.4 mi,"3014 N Seminary Ave, Chicago, IL 60657, USA",41.9366946,-87.6567121,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,956,16 mins,02/25/2016
"(42.0194326261, -87.6697413709)",1634,16,24714,15.4 mi,"1546-1598 Howard St, Chicago, IL 60626, USA",42.0193532,-87.6697416,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,1907,32 mins,02/25/2016
"(42.0194326261, -87.6697413709)",1634,16,18441,11.5 mi,"1546-1598 Howard St, Chicago, IL 60626, USA",42.0193532,-87.6697416,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,1961,33 mins,02/25/2016
"(42.0119020129, -87.6959392855)",1633,16,30120,18.7 mi,"2624 W Fitch Ave, Chicago, IL 60645, USA",42.01169429999999,-87.6959322,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,2051,34 mins,02/25/2016
"(42.0119020129, -87.6959392855)",1633,16,21931,13.6 mi,"2624 W Fitch Ave, Chicago, IL 60645, USA",42.01169429999999,-87.6959322,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,1687,28 mins,02/25/2016
"(42.0126074249, -87.6788237652)",1924,19,24930,15.5 mi,"1916 W Touhy Ave, Chicago, IL 60626, USA",42.0125458,-87.6788217,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,1965,33 mins,02/25/2016
"(42.0126074249, -87.6788237652)",1924,19,23303,14.5 mi,"1916 W Touhy Ave, Chicago, IL 60626, USA",42.0125458,-87.6788217,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,1921,32 mins,02/25/2016
"(42.0016850229, -87.7997549587)",1631,16,28075,17.4 mi,"7063 N Newark Ave, Niles, IL 60714, USA",42.0016855,-87.7998294,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,1953,33 mins,02/25/2016
"(42.0016850229, -87.7997549587)",1631,16,19886,12.4 mi,"7063 N Newark Ave, Niles, IL 60714, USA",42.0016855,-87.7998294,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,1588,26 mins,02/25/2016
"(42.0124430214, -87.6677122678)",1934,19,24071,15.0 mi,"7149-7199 N Greenview Ave, Chicago, IL 60626, USA",42.0124394,-87.6680083,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,1839,31 mins,02/25/2016
"(42.0124430214, -87.6677122678)",1934,19,17798,11.1 mi,"7149-7199 N Greenview Ave, Chicago, IL 60626, USA",42.0124394,-87.6680083,"1615 W Chicago Ave, Chicago, IL 60622, USA",41.8960587,-87.66795669999999,1893,32 mins,02/25/2016
"(41.9952695485, -87.7649838015)",1933,19,24119,15.0 mi,"6330-6340 N Lehigh Ave, Chicago, IL 60646, USA",41.9953461,-87.76472340000001,"Iit Tower, 10 W 35th St, Chicago, IL 60616, USA",41.83100170000001,-87.6272046,1479,25 mins,02/25/2016
