officer_id,centrality_score
3680,0.0001120699
2789,0.0010086294
2235,0.0011206993
2859,0.0010086294
2724,0.001568979
8070,0.0002241399
5517,0.0002241399
2184,0.0010086294
2254,0.0003362098
8281,0.0001120699
3819,0.0001120699
515,0.0001120699
5907,0.0001120699
2333,0.0031379581
5318,0.0005603497
8559,0.0013448392
8484,0.0001120699
5633,0.0003362098
2978,0.0008965595
2521,0.0004482797
537,0
8551,0.0003362098
3228,0.0001120699
4631,0.0003362098
129,0.0001120699
4796,0.0002241399
197,0.0004482797
1187,0.0001120699
2876,0.0004482797
8838,0.001568979
6990,0.0003362098
8493,0.0014569091
3864,0.0006724196
3028,0
1961,0
2534,0.0002241399
8136,0.0020172588
7216,0.0002241399
8229,0.0002241399
6289,0.0012327692
3115,0.0011206993
5602,0.0017931189
7857,0.0019051888
7634,0.0001120699
62,0.0008965595
4801,0
7718,0
8356,0.0012327692
8118,0.0001120699
3525,0
6537,0.0028017483
4326,0.0001120699
974,0.0041465875
6823,0.0008965595
3805,0.0002241399
3757,0.0007844895
8376,0.0002241399
8348,0.0025776084
7971,0.0001120699
502,0.0010086294
4098,0.0002241399
3045,0
1171,0.0004482797
4579,0.0007844895
3909,0.0008965595
87,0
5140,0.0028017483
3017,0.0002241399
8427,0.0007844895
8439,0.0001120699
6530,0.0004482797
6913,0
4714,0
1287,0.0043707273
315,0.003250028
1336,0.0005603497
3818,0.0003362098
3752,0.0003362098
5205,0.0003362098
386,0.001568979
672,0.0001120699
2807,0.0014569091
7898,0.0013448392
7584,0.0004482797
7254,0.0007844895
6819,0.0001120699
6699,0.0002241399
5849,0.0002241399
8338,0.0006724196
5462,0.0006724196
6710,0
7245,0.004931077
45,0.0001120699
1765,0.0002241399
6092,0.0012327692
1221,0.0011206993
423,0.0002241399
3844,0.0004482797
8544,0.0002241399
264,0.0011206993
432,0
98,0.0001120699
8630,0.0003362098
2001,0.0001120699
3479,0.0004482797
7797,0.0008965595
330,0.0001120699
7796,0
5252,0.0001120699
6204,0.001568979
5260,0.0006724196
2164,0
8252,0.0002241399
5777,0.0003362098
4306,0.0011206993
8662,0.0004482797
5040,0.001681049
4070,0.0001120699
7794,0
8111,0.0029138182
4238,0.0021293287
3620,0
2525,0.0013448392
5905,0.0025776084
5455,0
8769,0.001681049
3983,0
3377,0.001681049
7805,0.0022413986
8781,0.0005603497
1657,0
3889,0
3753,0.0002241399
6672,0.0005603497
6169,0.001568979
7014,0.0001120699
8402,0.0008965595
4102,0.0005603497
1736,0.0003362098
770,0.0003362098
8523,0.0002241399
7063,0.0005603497
5843,0.0001120699
3660,0.0001120699
2818,0
5210,0.0001120699
2829,0.0021293287
1137,0.0002241399
2000,0.0004482797
5037,0.0005603497
4159,0.0001120699
8566,0.0001120699
2934,0.0002241399
5485,0
7819,0.0014569091
2714,0.0004482797
2532,0.0004482797
6138,0.0025776084
939,0.0030258882
7944,0.0002241399
3708,0.0002241399
2917,0.0001120699
7389,0.0006724196
3944,0.0053793567
3621,0
6334,0.0008965595
391,0.0002241399
7620,0.0001120699
8677,0.0017931189
6604,0.0010086294
2398,0.0011206993
7709,0.0008965595
4635,0
4642,0.0002241399
5168,0.0003362098
5569,0.0013448392
8654,0.0003362098
3322,0.0002241399
6446,0.001681049
2167,0
3318,0.0001120699
365,0.0002241399
3948,0.0002241399
5588,0.0002241399
7583,0.0007844895
7696,0.0014569091
5502,0.0001120699
7453,0
5268,0.0002241399
5938,0.0001120699
7842,0.0025776084
2080,0.0010086294
5012,0.0007844895
4497,0.0010086294
3508,0.0011206993
8491,0
2848,0.0024655385
5341,0.0002241399
253,0.0004482797
384,0.0004482797
7687,0.0039224476
4417,0
6396,0
4507,0.0001120699
1274,0.0021293287
6894,0.0003362098
5630,0.0001120699
1394,0.0002241399
6589,0
3683,0.0012327692
8277,0.0003362098
2919,0
2796,0
6642,0.0006724196
1460,0.0010086294
3217,0.0008965595
5800,0.0024655385
5226,0.0010086294
2666,0.0001120699
6163,0
1264,0.0006724196
7059,0.0010086294
8511,0.0001120699
5337,0
2059,0
4881,0.0001120699
4233,0.0028017483
6390,0.0010086294
7966,0.0012327692
5807,0.0001120699
2501,0.0001120699
7711,0.0003362098
2043,0.0004482797
5475,0.0002241399
5667,0.0002241399
1190,0
7105,0.0002241399
811,0.0006724196
4214,0.0001120699
93,0.0002241399
50,0.0001120699
1203,0.0001120699
399,0.0012327692
3253,0.0012327692
854,0.0017931189
381,0.0004482797
4378,0.0001120699
8854,0.0002241399
2351,0.0003362098
5597,0.0017931189
6817,0.0002241399
4594,0.0028017483
5638,0
1985,0.0002241399
6554,0.0001120699
2453,0.0003362098
368,0
4105,0
3214,0.0004482797
6421,0.0008965595
3018,0.0001120699
8479,0.0010086294
647,0.0001120699
292,0.0004482797
7237,0.0002241399
3979,0.0003362098
5016,0.003250028
1031,0.0003362098
7223,0.0004482797
1758,0.0001120699
3400,0.0020172588
6512,0.0002241399
670,0.0006724196
1693,0.0001120699
8923,0.0039224476
241,0.0005603497
2732,0.0001120699
4584,0.0005603497
660,0.0013448392
2100,0.0006724196
309,0.0020172588
7403,0.0002241399
3890,0.0014569091
8760,0.0006724196
4319,0.0007844895
7152,0.003250028
125,0
8807,0.0002241399
2896,0.0001120699
6237,0.0001120699
8808,0.0003362098
166,0.0004482797
5818,0.0001120699
6728,0.0002241399
6803,0.0001120699
3768,0.0001120699
6680,0
7084,0.0007844895
5561,0.0004482797
5857,0.0001120699
7765,0.0007844895
6005,0.0001120699
8127,0
8600,0.0001120699
7166,0.0026896784
154,0.001568979
8822,0.0013448392
1638,0.0001120699
8580,0.0003362098
4132,0.0007844895
5748,0.0033620979
4983,0.0011206993
6267,0.0010086294
1409,0.0001120699
2808,0.0013448392
2116,0.0019051888
2239,0.0002241399
3312,0.0001120699
7044,0.0004482797
3894,0.0003362098
7949,0
2951,0.0001120699
8590,0.0002241399
846,0.0004482797
6776,0
5384,0.0004482797
3259,0.0001120699
547,0.0011206993
689,0
1378,0.0006724196
2509,0
6202,0.001568979
4511,0.0002241399
5002,0
2967,0.0020172588
6284,0.0003362098
7515,0.0007844895
4914,0.0025776084
6016,0.0002241399
5840,0.0001120699
1614,0.0039224476
7677,0.0004482797
3586,0.0001120699
6364,0
3117,0.0012327692
4405,0.0004482797
7408,0.0048190071
5738,0.0001120699
3091,0.0011206993
3351,0.0001120699
4866,0.0008965595
7801,0.0003362098
7038,0.0002241399
8638,0.0004482797
3440,0.0001120699
3289,0.0035862378
4208,0.0001120699
3723,0
2754,0
8776,0.001568979
3596,0.0001120699
3027,0.0012327692
6596,0
8787,0.0005603497
843,0.0002241399
3167,0.0006724196
2426,0.0036983077
6524,0
845,0.0004482797
1577,0.0004482797
3224,0
7501,0.0012327692
7657,0.0010086294
3602,0.0002241399
5516,0.0005603497
7350,0
8920,0.0002241399
2060,0.0006724196
2216,0.0001120699
771,0
3984,0.0002241399
8392,0.0002241399
2791,0.0006724196
3026,0
6435,0.0003362098
6475,0.0013448392
1232,0.0020172588
8721,0.0013448392
1573,0.0002241399
1457,0.003250028
784,0.0002241399
6137,0.0004482797
7938,0.0019051888
1596,0.0002241399
6050,0.0005603497
8589,0.0012327692
518,0.0022413986
6982,0.0001120699
3161,0.0045948672
6482,0.0002241399
7226,0
4674,0.0023534686
2109,0
8489,0.0002241399
5529,0.0006724196
8189,0
8234,0.001568979
1865,0.0001120699
8579,0
7795,0.0013448392
6757,0.0001120699
1154,0.0013448392
5113,0.0019051888
7617,0
7285,0.0001120699
6014,0.0003362098
7745,0.0004482797
6183,0.0004482797
6930,0.0007844895
1950,0.0004482797
6506,0.0003362098
78,0.0003362098
3340,0.0008965595
7110,0
6091,0
7230,0
7422,0
8335,0.0002241399
2057,0.0033620979
8832,0.0005603497
6947,0
1625,0.001568979
7,0
302,0.0006724196
8634,0.0072845456
5190,0
4508,0.001681049
8871,0.0014569091
1326,0.0003362098
1229,0.0001120699
2577,0
4324,0.0028017483
6981,0.001568979
6940,0.0005603497
8170,0.0002241399
3868,0.0001120699
924,0.0001120699
6360,0.0005603497
7277,0.0054914267
5575,0.0005603497
5881,0.0001120699
5018,0
1982,0.0021293287
2290,0.0002241399
4428,0.0004482797
3258,0.0004482797
3505,0
1082,0
4985,0.0001120699
6114,0.0002241399
1138,0.001681049
5,0.0004482797
4474,0
1373,0.0002241399
3199,0.0002241399
8367,0
4853,0
3296,0.0001120699
4283,0.0002241399
5244,0
1273,0
2905,0.0002241399
5154,0.0004482797
2737,0.0010086294
8792,0.0005603497
615,0.0004482797
4953,0
8631,0.0002241399
1233,0.0006724196
5110,0.0006724196
1001,0
2935,0.0003362098
7325,0.0007844895
1838,0.0003362098
7535,0.0006724196
676,0.001568979
3319,0
2466,0.0041465875
3470,0.0007844895
8889,0.0001120699
344,0.0001120699
2957,0.0003362098
3626,0
7821,0.0005603497
8670,0.001681049
1656,0.0044827973
3046,0.0008965595
2366,0.0003362098
1305,0.0019051888
8015,0
2047,0.0001120699
2257,0.0004482797
8705,0.0003362098
2461,0.0024655385
1320,0.0017931189
3601,0.0006724196
1442,0.0002241399
8168,0.0017931189
2910,0.0010086294
1303,0.0002241399
2939,0.0004482797
2224,0.0002241399
6501,0.0003362098
3921,0.0017931189
4311,0.0003362098
5514,0.0012327692
6962,0.0021293287
702,0.0014569091
8074,0
4533,0.0003362098
20,0
2256,0.0004482797
8464,0.0026896784
4795,0
3145,0.0002241399
7092,0.0010086294
332,0.0003362098
6007,0
4675,0.0001120699
3244,0.0007844895
8864,0.0002241399
8791,0.0001120699
5567,0.0004482797
3235,0
6856,0.006612126
7460,0.0020172588
8497,0.0002241399
2246,0.0004482797
4715,0.0001120699
6065,0
7969,0.0004482797
3371,0.0006724196
3544,0.0003362098
1025,0.0002241399
7953,0.0005603497
5794,0.0020172588
3203,0.0007844895
5696,0
5155,0.0001120699
2142,0.0004482797
2687,0.0003362098
7725,0.0003362098
6328,0.0001120699
3073,0.0008965595
7306,0.0003362098
7665,0.0012327692
4727,0.0026896784
1821,0.0004482797
5470,0.0002241399
5003,0.0001120699
7933,0.0010086294
7127,0.0026896784
6783,0
427,0.0002241399
3837,0.0003362098
5882,0
2274,0
1272,0.0004482797
6936,0
3182,0.0025776084
1556,0.0003362098
1879,0.0001120699
226,0.0010086294
2227,0.0001120699
2925,0.0001120699
3542,0.0001120699
7781,0.0010086294
8343,0.0001120699
5802,0.0007844895
3042,0.0012327692
7855,0.0001120699
3674,0.003250028
7572,0.0004482797
8719,0.0002241399
2758,0.0002241399
2458,0.0001120699
5123,0.0002241399
2441,0.003250028
626,0.0003362098
4401,0
3521,0.0001120699
6320,0.0001120699
2918,0.0010086294
3745,0.0005603497
3138,0.0023534686
8603,0.0002241399
6906,0.0001120699
7720,0.001681049
3462,0.0004482797
6759,0.0001120699
1752,0.0002241399
7806,0.0002241399
875,0.001568979
1474,0.0019051888
5273,0.0002241399
3663,0.0014569091
6181,0.0005603497
2332,0.0001120699
3643,0.0012327692
3898,0.0003362098
7863,0.0001120699
8289,0.001568979
7065,0
1581,0.0017931189
2008,0.0001120699
8549,0.0002241399
7377,0.0002241399
5054,0.0033620979
3877,0.0013448392
739,0.0003362098
6049,0.0001120699
2403,0.0003362098
3536,0.0002241399
5298,0.0002241399
4447,0.0010086294
1773,0.0039224476
2492,0.0006724196
8462,0.0030258882
2450,0.0006724196
4297,0
7307,0.0001120699
1531,0.0003362098
4275,0.0002241399
5727,0
2027,0.0007844895
1458,0.0021293287
8114,0.0004482797
100,0
6224,0.0005603497
682,0.0006724196
8707,0.0004482797
607,0.001681049
4712,0
430,0
2938,0
