stage-1,non-demo,no_affidavit,GB,"{'n_estimators': 1, 'learning_rate': 0.001, 'subsample': 0.1, 'max_depth': 1}",None,1,0.5,[ 0.35009361  0.57854036  1.        ],[ 1.         0.9144385  0.       ],[ 0.34779157  0.34833718]
stage-1,non-demo,no_affidavit,GB,"{'n_estimators': 1, 'learning_rate': 0.001, 'subsample': 0.1, 'max_depth': 1}",None,2,0.5,[ 0.35223322  0.59336305  1.        ],[ 1.          0.90964313  0.        ],[ 0.34846277  0.34896554]
stage-1,non-demo,no_affidavit,GB,"{'n_estimators': 1, 'learning_rate': 0.001, 'subsample': 0.1, 'max_depth': 1}",None,3,0.5,[ 0.34082397  0.70305164  1.        ],[ 1.          0.94034537  0.        ],[ 0.34935711  0.3498635 ]
stage-1,non-demo,no_affidavit,GB,"{'n_estimators': 1, 'learning_rate': 0.001, 'subsample': 0.1, 'max_depth': 1}",ROS,1,0.777795383024,[ 0.35009361  0.57854036  1.        ],[ 1.         0.9144385  0.       ],[ 0.49958902  0.50020063]
stage-1,non-demo,no_affidavit,GB,"{'n_estimators': 1, 'learning_rate': 0.001, 'subsample': 0.1, 'max_depth': 1}",ROS,2,0.785333537737,[ 0.35223322  0.59336305  1.        ],[ 1.          0.90964313  0.        ],[ 0.49959515  0.50023405]
stage-1,non-demo,no_affidavit,GB,"{'n_estimators': 1, 'learning_rate': 0.001, 'subsample': 0.1, 'max_depth': 1}",ROS,3,0.86749411303,[ 0.34082397  0.70305164  1.        ],[ 1.          0.94034537  0.        ],[ 0.49962411  0.50023312]
stage-1,non-demo,no_affidavit,GB,"{'n_estimators': 1, 'learning_rate': 0.001, 'subsample': 0.1, 'max_depth': 1}",SMOTE,1,0.777795383024,[ 0.35009361  0.57854036  1.        ],[ 1.         0.9144385  0.       ],[ 0.49957736  0.50026038]
stage-1,non-demo,no_affidavit,GB,"{'n_estimators': 1, 'learning_rate': 0.001, 'subsample': 0.1, 'max_depth': 1}",SMOTE,2,0.785333537737,[ 0.35223322  0.59336305  1.        ],[ 1.          0.90964313  0.        ],[ 0.49958233  0.5002269 ]
stage-1,non-demo,no_affidavit,GB,"{'n_estimators': 1, 'learning_rate': 0.001, 'subsample': 0.1, 'max_depth': 1}",SMOTE,3,0.86749411303,[ 0.34082397  0.70305164  1.        ],[ 1.          0.94034537  0.        ],[ 0.49958042  0.50023017]
stage-1,non-demo,no_affidavit,GB,"{'n_estimators': 1, 'learning_rate': 0.001, 'subsample': 0.1, 'max_depth': 3}",None,1,0.5,[ 0.51434185  0.57742402  0.61831657  0.63636364  0.1         1.        ],[ 1.          0.9144385   0.89228419  0.3315508   0.00152788  0.        ],[ 0.34789351  0.34791466  0.34826273  0.3484531   0.34873992]
