stage-1,non-demo,no_affidavit,AB,"{'algorithm': 'SAMME.R', 'n_estimators': 1, 'learning_rate': 0.001}",3,0.86749411303,[ 0.34082397  0.70305164  1.        ],[ 1.          0.94034537  0.        ],[ 0.07712533  0.7233208 ]
stage-1,non-demo,no_affidavit,AB,"{'algorithm': 'SAMME.R', 'n_estimators': 1, 'learning_rate': 0.001}",4,0.777795383024,[ 0.35009361  0.57854036  1.        ],[ 1.         0.9144385  0.       ],[ 0.05443189  0.65102881]
stage-1,non-demo,no_affidavit,AB,"{'algorithm': 'SAMME.R', 'n_estimators': 1, 'learning_rate': 0.001}",5,0.785333537737,[ 0.35223322  0.59336305  1.        ],[ 1.          0.90964313  0.        ],[ 0.04806248  0.65104586]
stage-1,non-demo,no_affidavit,AB,"{'algorithm': 'SAMME.R', 'n_estimators': 1, 'learning_rate': 0.001}",6,0.86749411303,[ 0.34082397  0.70305164  1.        ],[ 1.          0.94034537  0.        ],[ 0.04619565  0.6466291 ]
stage-1,non-demo,no_affidavit,AB,"{'algorithm': 'SAMME.R', 'n_estimators': 1, 'learning_rate': 0.001}",7,0.777795383024,[ 0.35009361  0.57854036  1.        ],[ 1.         0.9144385  0.       ],[ 0.09093509  0.72872681]
stage-1,non-demo,no_affidavit,AB,"{'algorithm': 'SAMME.R', 'n_estimators': 1, 'learning_rate': 0.001}",8,0.785333537737,[ 0.35223322  0.59336305  1.        ],[ 1.          0.90964313  0.        ],[ 0.08674352  0.72621114]
stage-1,non-demo,no_affidavit,AB,"{'algorithm': 'SAMME.R', 'n_estimators': 1, 'learning_rate': 0.001}",9,0.86749411303,[ 0.34082397  0.70305164  1.        ],[ 1.          0.94034537  0.        ],[ 0.08910035  0.72846832]
stage-1,non-demo,no_affidavit,AB,"{'algorithm': 'SAMME.R', 'n_estimators': 1, 'learning_rate': 0.001}",10,0.777795383024,[ 0.35009361  0.57854036  1.        ],[ 1.         0.9144385  0.       ],[ 0.11767971  0.72409305]
stage-1,non-demo,no_affidavit,AB,"{'algorithm': 'SAMME.R', 'n_estimators': 1, 'learning_rate': 0.001}",11,0.785333537737,[ 0.35223322  0.59336305  1.        ],[ 1.          0.90964313  0.        ],[ 0.11554563  0.72128514]
stage-1,non-demo,no_affidavit,AB,"{'algorithm': 'SAMME.R', 'n_estimators': 1, 'learning_rate': 0.001}",12,0.875811688312,[ 0.67550371  1.        ],[ 1.  0.],[ 0.677559]
stage-1,non-demo,no_affidavit,AB,"{'algorithm': 'SAMME.R', 'n_estimators': 1, 'learning_rate': 0.001}",13,0.777795383024,[ 0.35009361  0.57854036  1.        ],[ 1.         0.9144385  0.       ],[ 0.07774877  0.73092178]
stage-1,non-demo,no_affidavit,AB,"{'algorithm': 'SAMME.R', 'n_estimators': 1, 'learning_rate': 0.001}",14,0.785333537737,[ 0.35223322  0.59336305  1.        ],[ 1.          0.90964313  0.        ],[ 0.07393337  0.72831193]
stage-1,non-demo,no_affidavit,AB,"{'algorithm': 'SAMME.R', 'n_estimators': 1, 'learning_rate': 0.001}",15,0.86749411303,[ 0.34082397  0.70305164  1.        ],[ 1.          0.94034537  0.        ],[ 0.08088449  0.72985479]
stage-1,non-demo,no_affidavit,AB,"{'algorithm': 'SAMME.R', 'n_estimators': 1, 'learning_rate': 0.001}",16,0.777795383024,[ 0.35009361  0.57854036  1.        ],[ 1.         0.9144385  0.       ],[ 0.07694541  0.73104979]
stage-1,non-demo,no_affidavit,AB,"{'algorithm': 'SAMME.R', 'n_estimators': 1, 'learning_rate': 0.001}",17,0.785333537737,[ 0.35223322  0.59336305  1.        ],[ 1.          0.90964313  0.        ],[ 0.07284962  0.728482  ]
stage-1,non-demo,no_affidavit,AB,"{'algorithm': 'SAMME.R', 'n_estimators': 1, 'learning_rate': 0.001}",18,0.86749411303,[ 0.34082397  0.70305164  1.        ],[ 1.          0.94034537  0.        ],[ 0.07685564  0.73049984]
stage-1,non-demo,no_affidavit,AB,"{'algorithm': 'SAMME.R', 'n_estimators': 1, 'learning_rate': 0.001}",19,0.777795383024,[ 0.35009361  0.57854036  1.        ],[ 1.         0.9144385  0.       ],[ 0.06664709  0.58349705]
stage-1,non-demo,no_affidavit,AB,"{'algorithm': 'SAMME.R', 'n_estimators': 1, 'learning_rate': 0.001}",20,0.785333537737,[ 0.35223322  0.59336305  1.        ],[ 1.          0.90964313  0.        ],[ 0.06436374  0.57589831]
stage-1,non-demo,no_affidavit,AB,"{'algorithm': 'SAMME.R', 'n_estimators': 1, 'learning_rate': 0.001}",21,0.86749411303,[ 0.34082397  0.70305164  1.        ],[ 1.          0.94034537  0.        ],[ 0.06814159  0.58586106]
stage-1,non-demo,no_affidavit,AB,"{'algorithm': 'SAMME', 'n_estimators': 10, 'learning_rate': 0.001}",1,0.777795383024,[ 0.35009361  0.57854036  1.        ],[ 1.         0.9144385  0.       ],[ 0.30065859  0.60999076]
stage-1,non-demo,no_affidavit,AB,"{'algorithm': 'SAMME', 'n_estimators': 10, 'learning_rate': 0.001}",2,0.785333537737,[ 0.35223322  0.59336305  1.        ],[ 1.          0.90964313  0.        ],[ 0.29881757  0.60846134]
stage-1,non-demo,no_affidavit,AB,"{'algorithm': 'SAMME', 'n_estimators': 10, 'learning_rate': 0.001}",3,0.86749411303,[ 0.34082397  0.70305164  1.        ],[ 1.          0.94034537  0.        ],[ 0.29948129  0.60955993]
