stage-1,non-demo,no_affidavit,GB,"{'n_estimators': 1, 'subsample': 0.1, 'max_depth': 1, 'learning_rate': 0.001}",ROS,1,0.710699588477,[ 0.48213628  1.        ],[ 1.  0.],[ 0.50011735]
stage-1,non-demo,no_affidavit,GB,"{'n_estimators': 1, 'subsample': 0.1, 'max_depth': 1, 'learning_rate': 0.001}",ROS,2,0.710335120921,[ 0.35223322  0.48755656  1.        ],[ 1.          0.98177677  0.        ],[ 0.4995      0.50012361]
stage-1,non-demo,no_affidavit,GB,"{'n_estimators': 1, 'subsample': 0.1, 'max_depth': 1, 'learning_rate': 0.001}",ROS,3,0.733387148566,[ 0.34082397  0.49264136  1.        ],[ 1.          0.99843014  0.        ],[ 0.4995      0.50014106]
stage-1,non-demo,no_affidavit,GB,"{'n_estimators': 1, 'subsample': 0.1, 'max_depth': 1, 'learning_rate': 0.001}",None,1,0.5,[ 0.35009361  0.48247879  1.        ],[ 1.          0.99923606  0.        ],[ 0.34773972  0.34819516]
stage-1,non-demo,no_affidavit,GB,"{'n_estimators': 1, 'subsample': 0.1, 'max_depth': 1, 'learning_rate': 0.001}",None,2,0.5,[ 0.35223322  0.48831169  1.        ],[ 1.         0.9992407  0.       ],[ 0.34840768  0.34892005]
stage-1,non-demo,no_affidavit,GB,"{'n_estimators': 1, 'subsample': 0.1, 'max_depth': 1, 'learning_rate': 0.001}",None,3,0.5,[ 0.34082397  0.49270217  1.        ],[ 1.          0.98037677  0.        ],[ 0.34927849  0.34974335]
stage-1,non-demo,no_affidavit,GB,"{'n_estimators': 1, 'subsample': 0.1, 'max_depth': 1, 'learning_rate': 0.001}",SMOTE,1,0.696588669138,[ 0.35009361  0.49692713  1.        ],[ 1.          0.86478228  0.        ],[ 0.49960035  0.50013411]
stage-1,non-demo,no_affidavit,GB,"{'n_estimators': 1, 'subsample': 0.1, 'max_depth': 1, 'learning_rate': 0.001}",SMOTE,2,0.715878773857,[ 0.35223322  0.50141758  1.        ],[ 1.          0.94001519  0.        ],[ 0.49956516  0.50016787]
stage-1,non-demo,no_affidavit,GB,"{'n_estimators': 1, 'subsample': 0.1, 'max_depth': 1, 'learning_rate': 0.001}",SMOTE,3,0.730287569573,[ 0.34082397  0.49161793  1.        ],[ 1.          0.98979592  0.        ],[ 0.49950995  0.5001267 ]
stage-1,non-demo,no_affidavit,GB,"{'n_estimators': 1, 'subsample': 0.1, 'max_depth': 3, 'learning_rate': 0.001}",ROS,1,0.746560374992,[ 0.35009361  0.48079819  0.49960032  0.63335584  0.66141732  1.        ],[ 1.          0.97555386  0.95492743  0.71657754  0.70588235  0.        ],[ 0.4995      0.4997973   0.49985878  0.50017925  0.50026075]
