crid,lat,lng
1057642,41.8808807,-87.62089379999999
1063196,41.9080192,-87.69364770000001
1049623,41.8930249,-87.7555282
1049701,41.8798004,-87.76518329999999
1053368,41.9202307,-87.69222769999999
1044345,41.7513691,-87.5724372
1045049,41.756248,-87.642606
1049425,41.7513102,-87.6003609
1072781,41.9993226,-87.6710997
1063487,41.9743873,-87.7662266
1048246,41.9993226,-87.6710997
1051489,41.97658029999999,-87.884767
1057458,41.998008,-87.68152839999999
1070067,42.00152550000001,-87.6656161
1068427,41.9981327,-87.6804054
1054707,41.873255,-87.7053597
1052932,41.8774654,-87.6944283
1054598,41.8730927,-87.6985155
1055548,41.8773036,-87.7235735
1065466,41.8734363,-87.70101210000001
1066526,41.867542,-87.69835049999999
1062825,41.9589642,-87.72899850000002
1044026,41.88823989999999,-87.7224715
1055832,41.99672,-87.749206
1045770,41.747489,-87.64550799999999
1045631,41.8543846,-87.7252185
1054667,41.8481964,-87.7099901
1067320,41.905769,-87.71136790000001
1060811,41.7826043,-87.8014584
1051103,41.966169,-87.72832299999999
1056550,41.968142,-87.738432
1066897,41.9993226,-87.6710997
1072068,41.9907277,-87.69370289999999
1047164,41.858496,-87.6280008
1066021,41.903251,-87.643574
1062818,41.9754911,-87.6481831
1063508,41.9678711,-87.6443587
1063997,41.9723924,-87.6793007
1048041,41.746492,-87.663708
1052356,41.7584579,-87.6212085
1053976,41.7447555,-87.65323719999999
1056884,41.751982,-87.6444331
1061230,41.751982,-87.6444331
1062439,41.751982,-87.6444331
1060977,41.9428513,-87.6858761
1045095,41.7554482,-87.5570846
1045140,41.74406099999999,-87.586135
1047025,41.7437383,-87.5941856
1045139,41.7480973,-87.56376739999999
1054798,41.7011716,-87.64606189999999
1049649,41.79965929999999,-87.5929535
1055200,41.8439008,-87.628438
1045556,41.698241,-87.618763
1046757,41.672443,-87.620677
1047902,41.68478959999999,-87.6433122
1048905,41.8692168,-87.6275854
1055462,41.68523700000001,-87.649625
1055564,41.6921756,-87.60338089999999
1064007,41.6847759,-87.6426073
1058657,41.8441791,-87.62886
1044509,41.7567866,-87.59317949999999
1049995,41.75200100000001,-87.565974
1061159,41.7517309,-87.5662462
1064951,41.753257,-87.578819
1049523,41.6921756,-87.60338089999999
1068999,41.7375043,-87.545281
1069593,41.7372276,-87.5611679
1052250,41.7796609,-87.65086099999999
1058466,41.7682367,-87.6886893
1063305,41.7839632,-87.7646924
1065222,41.791086,-87.68486899999999
1067287,41.7609984,-87.69388579999999
1067766,41.7683651,-87.67961009999999
1061408,41.6921756,-87.60338089999999
1058329,41.7659977,-87.5631092
1052586,41.7103434,-87.61288429999999
1044292,41.8883263,-87.6295583
1044299,41.8980179,-87.62290209999999
1051075,41.8955901,-87.6212686
1055413,41.8914152,-87.62075709999999
1067349,41.9057696,-87.6393904
1058148,41.930931,-87.69117
1061127,41.8990635,-87.7237403
1067138,41.75258470000001,-87.5587405
1058822,41.7539735,-87.5560581
1072754,41.791025,-87.73750299999999
1052769,41.7984449,-87.667377
1073145,41.80836,-87.674331
1049853,41.893753,-87.6619821
1066494,41.7587061,-87.6087873
1049362,41.779162,-87.708877
1045377,41.7773279,-87.5852711
1069477,41.7663079,-87.5867833
1051468,41.8303649,-87.62384019999999
1047283,41.8684991,-87.7103624
1053075,41.8719443,-87.6936277
1053154,41.8773486,-87.72324599999999
1058330,41.872756,-87.725099
1069337,41.876754,-87.730199
1047039,41.7943109,-87.6256135
1060886,41.7511744,-87.6054458
1064206,41.789113,-87.61956699999999
1069945,41.7513102,-87.6003609
1054983,42.0087753,-87.81192089999999
1047313,41.829956,-87.69517599999999
1055998,41.7667175,-87.60562860000002
1053179,41.8927766,-87.6198622
1060481,41.8915567,-87.63716629999999
1071520,41.8017506,-87.63069630000001
1057737,41.7584275,-87.6127087
1064510,41.7513102,-87.6003609
1066696,41.751982,-87.6444331
1068108,41.7525167,-87.6122637
1050057,41.7560031,-87.6490409
1069474,41.7473367,-87.59566889999999
1046619,41.8653274,-87.64520890000001
1065350,41.8239948,-87.63134149999999
1067904,41.80331289999999,-87.6891969
1070057,41.83014379999999,-87.68768399999999
1072667,41.7080224,-87.56817389999999
1055789,41.8463408,-87.70264639999999
1056452,41.863163,-87.703707
1060942,41.856417,-87.70845
1049247,41.74910879999999,-87.73190230000002
1055629,41.79886399999999,-87.704053
1046249,41.800053,-87.697974
1047513,41.8009874,-87.6748166
1049454,41.7920583,-87.7035321
1051976,41.7643111,-87.6032999
1062217,41.801689,-87.655407
1066530,41.799454,-87.6322689
1053415,41.8301969,-87.6850221
1059173,41.837384,-87.645394
1069970,41.856417,-87.70845
1070416,41.9474536,-87.6561341
1073291,41.740383,-87.586061
1044714,41.7810569,-87.66268199999999
1045615,41.793529,-87.632121
1055247,41.85305350000001,-87.7193266
1059045,41.851317,-87.69070599999999
1064422,41.8558517,-87.71599739999999
1059362,41.8770522,-87.7057734
1061037,41.892522,-87.712908
1065040,41.873255,-87.7053597
1045270,41.92103059999999,-87.69764289999999
1047180,41.9057475,-87.6794882
1056517,41.91337499999999,-87.7122179
1053076,41.9976225,-87.69599939999999
1070506,41.906069,-87.7636129
1055437,41.797559,-87.6880904
1057539,41.8033929,-87.6064124
1060737,41.8017506,-87.63069630000001
1046083,41.7459618,-87.6515055
1058025,41.7461647,-87.6523869
1069723,41.951786,-87.703408
1072231,41.8026955,-87.60710429999999
1059789,41.856417,-87.70845
1066573,41.9258352,-87.6616001
1046760,42.021355,-87.672203
1056031,41.993786,-87.657315
1054102,41.686874,-87.63409
1048888,41.8843915,-87.750329
1053519,41.909921,-87.74608099999999
1046045,41.9879556,-87.765697
1061762,41.8807163,-87.67460439999999
1066463,41.873758,-87.70102969999999
1072890,41.9904811,-87.6885832
1061513,41.9180075,-87.7651004
1051819,41.9536204,-87.7500192
1057798,41.9586688,-87.74416289999999
1057601,41.9610188,-87.7242081
1062935,41.96685799999999,-87.737094
1062372,41.867709,-87.77087300000001
1061389,41.9993226,-87.6710997
1053857,41.6817387,-87.63406359999999
1059339,41.6794431,-87.6446979
1071344,41.6852047,-87.6144255
1049161,41.947553,-87.65122
1045614,41.8072031,-87.6183561
1050118,41.7385168,-87.58609589999999
1054857,41.9100556,-87.7166426
1056951,41.8444535,-87.71085839999999
1057772,41.9091618,-87.70164729999999
1063505,41.8930098,-87.7420631
1065617,41.909153,-87.7016429
1067932,41.9255039,-87.722789
1069858,41.9316781,-87.7200534
1071223,41.9544591,-87.70952609999999
1062450,41.9160349,-87.7982894
1055243,41.978534,-87.792974
1061750,41.873255,-87.7053597
1057182,41.8303649,-87.62384019999999
1045741,41.908815,-87.78752689999999
1048037,41.749602,-87.72159719999999
1067302,41.8763007,-87.6282016
1052872,41.876215,-87.74284399999999
1068659,41.9028244,-87.7268319
1062236,41.969369,-87.6564347
1066197,41.88135399999999,-87.751914
1044266,41.69169400000001,-87.66862700000001
1053561,41.7350549,-87.6387448
1057901,41.686658,-87.660484
1059053,41.671897,-87.6341489
1069669,41.7219887,-87.73282909999999
1049534,41.8017506,-87.63069630000001
1050433,41.73610499999999,-87.631946
1053257,41.7959618,-87.6295718
1063641,41.8017506,-87.63069630000001
1068672,41.833701,-87.6185239
1059845,41.787154,-87.62437190000001
1062184,41.7586963,-87.5908097
1068573,41.7696683,-87.5742839
1072651,41.762529,-87.65743499999999
1056838,41.7560845,-87.6442162
1046343,41.9745941,-87.6665975
1047721,41.7947813,-87.6159895
1048915,41.9684552,-87.70849369999999
1052191,41.9892715,-87.70625369999999
1057279,41.96718569999999,-87.66098210000001
1062074,42.02277600000001,-87.6717199
1062469,41.8729197,-87.74524149999999
1062700,41.92445,-87.7261556
1067710,41.8764169,-87.727498
1068918,41.876454,-87.755225
1070265,42.0140106,-87.6792857
1072169,42.0152518,-87.67074629999999
1068427,41.9981327,-87.6804054
1050431,41.735861,-87.6582232
1056064,41.7634273,-87.5773567
1060234,41.7068394,-87.6501423
1072890,41.9904811,-87.6885832
1054667,41.8481964,-87.7099901
1072133,41.9029659,-87.7557994
1047188,41.736331,-87.646175
1072306,41.6921756,-87.60338089999999
1055061,41.778932,-87.68629899999999
1060096,41.780721,-87.696736
1072976,41.6913493,-87.69784419999999
1057080,41.879838,-87.768322
1070954,41.754926,-87.588602
1067568,41.889793,-87.74462799999999
1071458,41.7075037,-87.58626029999999
1067915,41.9820624,-87.69384079999999
1045286,41.8240853,-87.63130319999999
1050272,41.86094,-87.623509
1072281,41.8785183,-87.64109499999999
1061390,41.9993226,-87.6710997
1061531,42.0193576,-87.67288649999999
1066431,41.9993226,-87.6710997
1051050,41.8664736,-87.7019789
1053658,41.8390229,-87.7048739
1055267,41.659764,-87.55840900000001
1070859,41.8814195,-87.7158913
1071490,41.8824759,-87.707928
1064544,41.763234,-87.645922
1068873,41.7502009,-87.66380699999999
1070184,41.7742957,-87.64465489999999
1048113,41.8684991,-87.7103624
1060553,41.7855308,-87.62387400000001
1068329,41.934678,-87.7213359
1044757,41.8380516,-87.64575239999999
1045970,41.9180075,-87.7651004
1056430,41.6921756,-87.60338089999999
1051587,41.8308525,-87.6221947
1052536,41.88238330000001,-87.75638289999999
1060030,41.88397519999999,-87.7554779
1068184,41.9095637,-87.7558025
1049117,41.8684991,-87.7103624
1068329,41.934678,-87.7213359
1065428,41.8684423,-87.7093883
1068115,41.7894211,-87.768025
1068542,41.763832,-87.649579
1051281,41.9002788,-87.7704385
1058730,41.89539,-87.6611199
1063513,41.8845115,-87.6627012
1066218,41.8763007,-87.6282016
1067302,41.8763007,-87.6282016
1051491,41.72543599999999,-87.575773
1064951,41.753257,-87.578819
1070331,41.7117844,-87.6077583
1043981,41.8735837,-87.71568049999999
1049465,41.8661475,-87.70585179999999
1053426,41.88292149999999,-87.72495359999999
1068363,41.7061639,-87.560017
1045320,41.780183,-87.606348
1046340,41.7791416,-87.61602669999999
1054479,41.7838578,-87.6157226
1056998,41.7830264,-87.5967087
1059092,41.780905,-87.61169900000002
1068828,41.77461539999999,-87.61552499999999
1071229,41.78513299999999,-87.610551
1050131,41.75029749999999,-87.55095299999999
1053042,41.7119505,-87.5975498
1068205,41.7553924,-87.56378629999999
1047217,41.8381499,-87.61710529999999
1056217,41.8166889,-87.606979
1056218,41.8166889,-87.606979
1058127,41.8017506,-87.63069630000001
1060620,41.817476,-87.60710499999999
1064344,41.893545,-87.774765
1066759,41.84545689999999,-87.62049320000001
1066053,41.7508082,-87.6122426
1045394,41.7650898,-87.59098
1052120,41.7667175,-87.60562860000002
1053482,41.7667175,-87.60562860000002
1055040,41.780183,-87.606348
1060742,41.7713219,-87.61193970000001
1061092,41.766144,-87.5863455
1061675,41.765534,-87.6248765
1064705,41.754065,-87.60866879999999
1066259,41.7364234,-87.62098
1072434,41.7385168,-87.58609589999999
1056635,41.70187600000001,-87.62971399999999
1053800,41.7437822,-87.63143319999999
1047565,41.74482649999999,-87.5673628
1050956,41.740652,-87.588785
1062788,41.9474536,-87.6561341
1069037,41.751982,-87.6444331
1060447,41.876848,-87.6832325
