crid,lat,lng
1046078,41.94044179999999,-87.6543701
1048978,41.8210219,-87.7024009
1066301,41.773531,-87.59115
1055339,41.8968498,-87.6283617
1047165,41.779162,-87.708877
1067822,41.8639059,-87.9350224
1055076,41.9049506,-87.76576589999999
1056170,41.7924003,-87.7818982
1065828,41.7264471,-87.6594306
1055891,41.779162,-87.708877
1067892,41.73648800000001,-87.659774
1048721,41.8363214,-87.6519289
1060292,41.779162,-87.708877
1062696,41.796341,-87.663074
1067091,41.779162,-87.708877
1067091,41.779162,-87.708877
1072852,41.6541727,-87.6024339
1067754,41.9785923,-87.69263509999999
1057248,41.77094839999999,-87.62520119999999
1057248,41.77094839999999,-87.62520119999999
1072585,41.751019,-87.5514998
1064867,41.6928772,-87.6266119
1050569,41.955607,-87.74694199999999
1067165,41.75585520000001,-87.6603255
1069548,41.7756313,-87.6836165
1066507,41.8033746,-87.6473551
1053767,41.97967999999999,-87.69303599999999
1071475,41.8451082,-87.72617199999999
1050000,41.6428291,-87.5593249
1050569,41.955607,-87.74694199999999
1069232,41.805468,-87.661572
1053767,41.97967999999999,-87.69303599999999
1062832,41.97967999999999,-87.69303599999999
1063151,41.622543,-87.528452
1066507,41.8033746,-87.6473551
1045601,41.8973173,-87.72637600000002
1062365,41.6230127,-87.5290338
1069184,41.8948517,-87.7654088
1071509,41.8939021,-87.7027439
1051421,41.7650064,-87.65798819999999
1056743,41.8608718,-87.6957137
1067892,41.73648800000001,-87.659774
1044955,41.7648056,-87.65749679999999
1071955,41.6839129,-87.7011356
1062793,41.8783152,-87.6207184
1054317,41.9069831,-87.7661028
1062797,41.7650064,-87.65798819999999
1062435,41.8441171,-87.69466279999999
1071981,41.779162,-87.708877
1045822,41.78245700000001,-87.660985
1050257,41.7640577,-87.581718
1059397,41.7634316,-87.57620709999999
1061585,41.77750169999999,-87.60392739999999
1058782,41.74442519999999,-87.5685415
1050376,41.7218008,-87.6237586
1051248,41.779162,-87.708877
1047344,41.9908333,-87.70720870000001
1057215,41.766354,-87.674185
1047456,41.703266,-87.6295686
1066620,41.9401605,-87.6541926
1046946,41.8013078,-87.6635672
1052074,41.882931,-87.72538399999999
1046801,41.7777359,-87.6459132
1069003,41.9072291,-87.63652429999999
1053238,41.8449502,-87.69466179999999
1068684,41.779162,-87.708877
1053781,41.6972645,-87.6287005
1068726,41.6286896,-87.54281540000001
1064456,41.6789752,-87.62051369999999
1046078,41.94044179999999,-87.6543701
1066156,41.7338793,-87.6596364
1047237,41.7652248,-87.6371248
1065828,41.7264471,-87.6594306
1071050,41.9027165,-87.76598419999999
1061202,41.7658874,-87.5970804
1045233,41.97967999999999,-87.69303599999999
1044795,41.698836,-87.6515699
1047464,41.9524022,-87.82206339999999
1044424,41.948123,-87.655531
1072223,41.889882,-87.7235039
1053844,41.748671,-87.67339299999999
1067165,41.75585520000001,-87.6603255
1063161,41.7078149,-87.701112
1050444,41.97967999999999,-87.69303599999999
1068204,41.8608718,-87.6957137
1048978,41.8210219,-87.7024009
1047508,41.749938,-87.674973
1064204,41.6627686,-87.6550741
1046139,41.73859270000001,-87.71766780000002
1071044,41.705675,-87.65046099999999
1045601,41.8973173,-87.72637600000002
1068277,41.8829411,-87.72573679999999
1048467,41.7554482,-87.5570846
1067473,41.744263,-87.60667699999999
1055686,41.8431648,-87.69598490000001
1060940,41.9401605,-87.6541926
1072143,41.868016,-87.710934
1064867,41.6928772,-87.6266119
1047165,41.779162,-87.708877
1061330,41.6980076,-87.62565959999999
1058911,41.7706861,-87.68380739999999
1056845,41.6580424,-87.53748560000001
1063161,41.7078149,-87.701112
1048721,41.8363214,-87.6519289
1052452,41.891137,-87.6544579
1071475,41.8451082,-87.72617199999999
1057810,41.8968498,-87.6283617
1061175,41.810966,-87.664143
1044343,41.6889155,-87.6273154
1053099,41.779162,-87.708877
1062181,41.807314,-87.64484000000002
1063161,41.7078149,-87.701112
1071955,41.6839129,-87.7011356
1062488,41.8950279,-87.6558331
1059588,41.9465206,-87.6540254
1067165,41.75585520000001,-87.6603255
1050510,41.863494,-87.668966
1067091,41.779162,-87.708877
1067976,41.7082292,-87.53040779999999
1045740,41.6300624,-87.54515549999999
1054620,41.7706861,-87.68380739999999
1058391,41.7217992,-87.62504109999999
1047508,41.749938,-87.674973
1069184,41.8948517,-87.7654088
1069404,41.7808691,-87.62532399999999
1062114,41.779162,-87.708877
1061881,41.7218008,-87.6237586
1045386,41.86741500000001,-87.7643622
1057848,41.779162,-87.708877
1047926,41.749046,-87.67388199999999
1067119,41.779162,-87.708877
1066507,41.8033746,-87.6473551
1055253,41.8534101,-87.66732789999999
1061618,41.779162,-87.708877
1062435,41.8441171,-87.69466279999999
1068665,41.7706861,-87.68380739999999
1067119,41.779162,-87.708877
1063333,41.8968498,-87.6283617
1067033,41.779162,-87.708877
1044343,41.6889155,-87.6273154
1061618,41.779162,-87.708877
1047508,41.749938,-87.674973
1071050,41.9027165,-87.76598419999999
1071981,41.779162,-87.708877
1069252,41.7706861,-87.68380739999999
1048561,41.97522910000001,-87.7577396
1071050,41.9027165,-87.76598419999999
1053061,41.908472,-87.766212
1047237,41.7652248,-87.6371248
1056073,41.8449502,-87.69466179999999
1069786,41.8976552,-87.7658034
1062435,41.8441171,-87.69466279999999
1062832,41.97967999999999,-87.69303599999999
1066809,41.6972219,-87.7028778
1051798,41.83369039999999,-87.6852174
1053223,41.7762109,-87.6374226
1045031,41.690468,-87.626587
1057578,41.6534927,-87.5366379
1062555,41.7027455,-87.56441129999999
1069065,41.779162,-87.708877
1062696,41.796341,-87.663074
1055253,41.8534101,-87.66732789999999
1060335,41.9410168,-87.71106879999999
1053781,41.6972645,-87.6287005
1060348,41.779162,-87.708877
1059419,41.629686,-87.555193
1061175,41.810966,-87.664143
1057346,41.8948517,-87.7654088
1051850,41.779162,-87.708877
1050569,41.955607,-87.74694199999999
1066215,41.7510347,-87.62454470000002
1044123,41.8948517,-87.7654088
1047456,41.703266,-87.6295686
1051187,41.779162,-87.708877
1056913,41.779162,-87.708877
1071050,41.9027165,-87.76598419999999
1048125,41.7467444,-87.6597221
1066215,41.7510347,-87.62454470000002
1072143,41.868016,-87.710934
1055253,41.8534101,-87.66732789999999
1063161,41.7078149,-87.701112
1067091,41.779162,-87.708877
1062555,41.7027455,-87.56441129999999
1070715,41.8449502,-87.69466179999999
1051151,41.622711,-87.52712
1069507,41.779162,-87.708877
1067091,41.779162,-87.708877
1063151,41.622543,-87.528452
1061330,41.6980076,-87.62565959999999
1059611,41.779162,-87.708877
1069613,41.9828197,-87.77921169999999
1063437,41.8449502,-87.69466179999999
1065700,41.779162,-87.708877
1062435,41.8441171,-87.69466279999999
1062832,41.97967999999999,-87.69303599999999
